PeakID (cmd=annotatePeaks.pl FWHW_5th_p05FC1_eratoUnique_HWup.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats FWHW_5th_p05FC1_eratoUnique_HWup_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
33	Herato0310	5132764	5132976	+	0	NA	Intergenic	Intergenic	19535	ID=evm.model.Herato0310.123-E2;Parent=evm.model.Herato0310.123								
32	Herato0310	5069970	5070693	+	0	NA	Intergenic	Intergenic	17994	ID=evm.model.Herato0310.123-E1;Parent=evm.model.Herato0310.123								
21	Herato1507	1532273	1532500	+	0	NA	TTS (ID=evm.model.Herato1507.45-E6;Parent=evm.model.Herato1507.45)	-TTS (ID=evm.model.Herato1507.45-E6;Parent=evm.model.Herato1507.45)	996	ID=evm.model.Herato1507.45-E6;Parent=evm.model.Herato1507.45								
7	Herato0801	4268697	4269078	+	0	NA	Intergenic	Intergenic	-38437	ID=evm.model.Herato0801.87-E1;Parent=evm.model.Herato0801.87								
26	Herato1701	3340735	3341651	+	0	NA	Intergenic	Intergenic	-32023	ID=evm.model.Herato1701.65-E1;Parent=evm.model.Herato1701.65								
17	Herato1807	1811356	1811692	+	0	NA	Intergenic	Intergenic	15450	ID=evm.model.Herato1807.38-E2;Parent=evm.model.Herato1807.38								
2	Herato0606	4715548	4715757	+	0	NA	Intergenic	Intergenic	-70003	ID=evm.model.Herato0606.148-E1;Parent=evm.model.Herato0606.148								
1	Herato0606	2169065	2169337	+	0	NA	Intergenic	Intergenic	16807	ID=evm.model.Herato0606.66-E1;Parent=evm.model.Herato0606.66								
18	Herato1807	3727151	3727781	+	0	NA	promoter-TSS (ID=evm.model.Herato1807.73-E6;Parent=evm.model.Herato1807.73)	-promoter-TSS (ID=evm.model.Herato1807.73-E6;Parent=evm.model.Herato1807.73)	-807	ID=evm.model.Herato1807.73.5-E6;Parent=evm.model.Herato1807.73.5								
30	Herato0310	5058215	5058718	+	0	NA	Intergenic	Intergenic	6129	ID=evm.model.Herato0310.123-E1;Parent=evm.model.Herato0310.123								
16	Herato0401	243247	243504	+	0	NA	Intergenic	Intergenic	-4239	ID=evm.model.Herato0401.6-E2;Parent=evm.model.Herato0401.6								
44	Herato2001	9421319	9421728	+	0	NA	Intergenic	Intergenic	14591	ID=evm.model.Herato2001.384-E6;Parent=evm.model.Herato2001.384								
55	Herato1904	3129016	3129555	+	0	NA	Intergenic	Intergenic	-4839	ID=evm.model.Herato1904.108-E2;Parent=evm.model.Herato1904.108								
27	Herato1301	2023055	2023314	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.52-E2;Parent=evm.model.Herato1301.52)	-promoter-TSS (ID=evm.model.Herato1301.52-E2;Parent=evm.model.Herato1301.52)	-532	ID=evm.model.Herato1301.52-E2;Parent=evm.model.Herato1301.52								
25	Herato1202	11249604	11250188	+	0	NA	TTS (ID=evm.model.Herato1202.447.1-E2;Parent=evm.model.Herato1202.447.1)	-TTS (ID=evm.model.Herato1202.447.1-E2;Parent=evm.model.Herato1202.447.1)	121	ID=evm.model.Herato1202.447.1-E2;Parent=evm.model.Herato1202.447.1								
28	Herato0501	277197	277853	+	0	NA	Intergenic	Intergenic	-38825	ID=evm.model.Herato0501.14-E1;Parent=evm.model.Herato0501.14								
57	Herato0310	5073709	5074417	+	0	NA	Intergenic	Intergenic	-18036	ID=evm.model.Herato0310.124-E1;Parent=evm.model.Herato0310.124								
40	Herato0310	5159287	5159683	+	0	NA	Intergenic	Intergenic	-17091	ID=evm.model.Herato0310.126-E1;Parent=evm.model.Herato0310.126								
