PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_eratoUnique_5thup.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_eratoUnique_5thup_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1801	Herato1301	3112830	3113412	+	0	NA	Intergenic	Intergenic	6893	ID=evm.model.Herato1301.85.3-E1;Parent=evm.model.Herato1301.85.3								
5006	Herato2001	2277055	2277270	+	0	NA	Intergenic	Intergenic	-24814	ID=evm.model.Herato2001.58-E1;Parent=evm.model.Herato2001.58								
3074	Herato2101	2174893	2175105	+	0	NA	promoter-TSS (ID=evm.model.Herato2101.72-E15;Parent=evm.model.Herato2101.72)	-promoter-TSS (ID=evm.model.Herato2101.72-E15;Parent=evm.model.Herato2101.72)	103	ID=evm.model.Herato2101.72.1-E15;Parent=evm.model.Herato2101.72.1								
3509	Herato1202	19774050	19774825	+	0	NA	Intergenic	Intergenic	-14705	ID=evm.model.Herato1202.799-E1;Parent=evm.model.Herato1202.799								
4863	Herato2001	5270863	5271105	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.177-E4;Parent=evm.model.Herato2001.177)	-promoter-TSS (ID=evm.model.Herato2001.177-E4;Parent=evm.model.Herato2001.177)	80	ID=evm.model.Herato2001.177.1-E2;Parent=evm.model.Herato2001.177.1								
3163	Herato2001	1633545	1634754	+	0	NA	Intergenic	Intergenic	-3932	ID=evm.model.Herato2001.32-E1;Parent=evm.model.Herato2001.32								
1178	Herato0801	1479535	1479902	+	0	NA	Intergenic	Intergenic	22607	ID=evm.model.Herato0801.23-E1;Parent=evm.model.Herato0801.23								
4628	Herato2001	11267649	11267970	+	0	NA	Intergenic	Intergenic	8176	ID=evm.model.Herato2001.430-E9;Parent=evm.model.Herato2001.430								
1387	Herato0821	2200490	2200761	+	0	NA	Intergenic	Intergenic	-7215	ID=evm.model.Herato0821.84.1-E5;Parent=evm.model.Herato0821.84.1								
1932	Herato0101	15445378	15445556	+	0	NA	Intergenic	Intergenic	-17747	ID=evm.model.Herato0101.568-E1;Parent=evm.model.Herato0101.568								
458	Herato1007	3860784	3861121	+	0	NA	Intergenic	Intergenic	10232	ID=evm.model.Herato1007.145-E1;Parent=evm.model.Herato1007.145								
2634	Herato1505	3123905	3124494	+	0	NA	Intergenic	Intergenic	-17785	ID=evm.model.Herato1505.136-E1;Parent=evm.model.Herato1505.136								
1785	Herato0901	11946751	11947237	+	0	NA	Intergenic	Intergenic	-7495	ID=evm.model.Herato0901.366-E6;Parent=evm.model.Herato0901.366								
4361	Herato0411	344696	344905	+	0	NA	Intergenic	Intergenic	4069	ID=evm.model.Herato0411.13-E6;Parent=evm.model.Herato0411.13								
5521	Herato0403	756469	756683	+	0	NA	Intergenic	Intergenic	-76646	ID=evm.model.Herato0403.11-E1;Parent=evm.model.Herato0403.11								
5499	Herato0503	4064320	4064654	+	0	NA	Intergenic	Intergenic	5635	ID=evm.model.Herato0503.128.3-E10;Parent=evm.model.Herato0503.128.3								
1250	Herato0801	4858837	4859293	+	0	NA	Intergenic	Intergenic	-1389	ID=evm.model.Herato0801.106-E2;Parent=evm.model.Herato0801.106								
2507	Herato0411	2762754	2763472	+	0	NA	TTS (ID=evm.model.Herato0411.49-E3;Parent=evm.model.Herato0411.49)	-TTS (ID=evm.model.Herato0411.49-E3;Parent=evm.model.Herato0411.49)	119	ID=evm.model.Herato0411.49-E3;Parent=evm.model.Herato0411.49								
5810	Herato2001	11454346	11454813	+	0	NA	Intergenic	Intergenic	18409	ID=evm.model.Herato2001.440.6.6-E14;Parent=evm.model.Herato2001.440.6.6								
4893	Herato1603	2834373	2834647	+	0	NA	Intergenic	Intergenic	85534	ID=evm.model.Herato1603.83-E1;Parent=evm.model.Herato1603.83								
3957	Herato0301	3604702	3605020	+	0	NA	promoter-TSS (ID=evm.model.Herato0301.97-E18;Parent=evm.model.Herato0301.97)	-promoter-TSS (ID=evm.model.Herato0301.97-E18;Parent=evm.model.Herato0301.97)	132	ID=evm.model.Herato0301.97-E17;Parent=evm.model.Herato0301.97								
1630	Herato0901	5657576	5657894	+	0	NA	Intergenic	Intergenic	4219	ID=evm.model.Herato0901.157-E4;Parent=evm.model.Herato0901.157								
3497	Herato1805	7454734	7455424	+	0	NA	Intergenic	Intergenic	23459	ID=evm.model.Herato1805.226-E7;Parent=evm.model.Herato1805.226								
4340	Herato1807	5194374	5195024	+	0	NA	Intergenic	Intergenic	-33978	ID=evm.model.Herato1807.127-E1;Parent=evm.model.Herato1807.127								
3185	Herato1202	9064712	9065010	+	0	NA	Intergenic	Intergenic	6202	ID=evm.model.Herato1202.364-E17;Parent=evm.model.Herato1202.364								
3109	Herato1603	3438212	3438614	+	0	NA	Intergenic	Intergenic	-1196	ID=evm.model.Herato1603.89-E2;Parent=evm.model.Herato1603.89								
3919	Herato1301	16392699	16393107	+	0	NA	Intergenic	Intergenic	-1927	ID=evm.model.Herato1301.590-E3;Parent=evm.model.Herato1301.590								
728	Herato1505	3265856	3266396	+	0	NA	Intergenic	Intergenic	-3274	ID=evm.model.Herato1505.139-E1;Parent=evm.model.Herato1505.139								
1244	Herato1603	3471985	3472233	+	0	NA	Intergenic	Intergenic	-16094	ID=evm.model.Herato1603.91-E1;Parent=evm.model.Herato1603.91								
1638	Herato0901	6159090	6159581	+	0	NA	Intergenic	Intergenic	6986	ID=evm.model.Herato0901.204-E6;Parent=evm.model.Herato0901.204								
5060	Herato0401	847680	848163	+	0	NA	Intergenic	Intergenic	5695	ID=evm.model.Herato0401.12-E19;Parent=evm.model.Herato0401.12								
3936	Herato0101	3825753	3827167	+	0	NA	Intergenic	Intergenic	37893	ID=evm.model.Herato0101.118-E6;Parent=evm.model.Herato0101.118								
29	Herato0508	1483329	1484182	+	0	NA	Intergenic	Intergenic	-9663	ID=evm.model.Herato0508.64-E3;Parent=evm.model.Herato0508.64								
5831	Herato2001	12676171	12676688	+	0	NA	TTS (ID=evm.model.Herato2001.483-E3;Parent=evm.model.Herato2001.483)	-TTS (ID=evm.model.Herato2001.483-E3;Parent=evm.model.Herato2001.483)	914	ID=evm.model.Herato2001.483.3-E2;Parent=evm.model.Herato2001.483.3								
350	Herato0101	9370250	9370639	+	0	NA	Intergenic	Intergenic	-6461	ID=evm.model.Herato0101.284-E1;Parent=evm.model.Herato0101.284								
4087	Herato1301	22202969	22203240	+	0	NA	Intergenic	Intergenic	-1851	ID=evm.model.Herato1301.754-E5;Parent=evm.model.Herato1301.754								
1969	Herato1301	13323379	13323768	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.508-E2;Parent=evm.model.Herato1301.508)	-promoter-TSS (ID=evm.model.Herato1301.508-E2;Parent=evm.model.Herato1301.508)	214	ID=evm.model.Herato1301.508-E1;Parent=evm.model.Herato1301.508								
1810	Herato0904	302621	302939	+	0	NA	Intergenic	Intergenic	-5928	ID=evm.model.Herato0904.24-E6;Parent=evm.model.Herato0904.24								
2203	Herato1005	2938215	2938480	+	0	NA	Intergenic	Intergenic	2757	ID=evm.model.Herato1005.223-E4;Parent=evm.model.Herato1005.223								
4358	Herato2001	931342	931728	+	0	NA	Intergenic	Intergenic	-1187	ID=evm.model.Herato2001.18.1.1-E1;Parent=evm.model.Herato2001.18.1.1								
2754	Herato1108	9114921	9115246	+	0	NA	Intergenic	Intergenic	2705	ID=evm.model.Herato1108.394-E11;Parent=evm.model.Herato1108.394								
1546	Herato1701	4592948	4593159	+	0	NA	Intergenic	Intergenic	-45429	ID=evm.model.Herato1701.107-E1;Parent=evm.model.Herato1701.107								
2994	Herato1202	2509846	2510149	+	0	NA	Intergenic	Intergenic	-4523	ID=evm.model.Herato1202.86-E1;Parent=evm.model.Herato1202.86								
4003	Herato1301	19920959	19921174	+	0	NA	Intergenic	Intergenic	-3622	ID=evm.model.Herato1301.677-E4;Parent=evm.model.Herato1301.677								
3256	Herato2001	5018917	5019386	+	0	NA	Intergenic	Intergenic	3841	ID=evm.model.Herato2001.171-E1;Parent=evm.model.Herato2001.171								
311	Herato0606	5559108	5559480	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.187-E4;Parent=evm.model.Herato0606.187)	-promoter-TSS (ID=evm.model.Herato0606.187-E4;Parent=evm.model.Herato0606.187)	-844	ID=evm.model.Herato0606.187-E4;Parent=evm.model.Herato0606.187								
4537	Herato1507	137093	137392	+	0	NA	Intergenic	Intergenic	48683	ID=evm.model.Herato1507.1.1-E6;Parent=evm.model.Herato1507.1.1								
4836	Herato2001	4064635	4064990	+	0	NA	Intergenic	Intergenic	16066	ID=evm.model.Herato2001.133-E6;Parent=evm.model.Herato2001.133								
3844	Herato1301	12376573	12378355	+	0	NA	Intergenic	Intergenic	-5349	ID=evm.model.Herato1301.484-E4;Parent=evm.model.Herato1301.484								
825	Herato0701	11152913	11153634	+	0	NA	Intergenic	Intergenic	-1386	ID=evm.model.Herato0701.473-E6;Parent=evm.model.Herato0701.473								
917	Herato1108	12261189	12261471	+	0	NA	Intergenic	Intergenic	1289	ID=evm.model.Herato1108.518-E1;Parent=evm.model.Herato1108.518								
3431	Herato1701	5505265	5505592	+	0	NA	Intergenic	Intergenic	-33861	ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147								
4977	Herato2001	1729759	1730237	+	0	NA	TTS (ID=evm.model.Herato2001.35-E2;Parent=evm.model.Herato2001.35)	-TTS (ID=evm.model.Herato2001.35-E2;Parent=evm.model.Herato2001.35)	245	ID=evm.model.Herato2001.35.3-E2;Parent=evm.model.Herato2001.35.3								
495	Herato1007	5068462	5068907	+	0	NA	promoter-TSS (ID=evm.model.Herato1007.201-E16;Parent=evm.model.Herato1007.201)	-promoter-TSS (ID=evm.model.Herato1007.201-E16;Parent=evm.model.Herato1007.201)	-497	ID=evm.model.Herato1007.201-E16;Parent=evm.model.Herato1007.201								
4501	Herato0101	3041251	3041749	+	0	NA	Intergenic	Intergenic	10254	ID=evm.model.Herato0101.101-E1;Parent=evm.model.Herato0101.101								
3889	Herato2101	13474717	13474886	+	0	NA	promoter-TSS (ID=evm.model.Herato2101.426-E5;Parent=evm.model.Herato2101.426)	-promoter-TSS (ID=evm.model.Herato2101.426-E5;Parent=evm.model.Herato2101.426)	39	ID=evm.model.Herato2101.426-E5;Parent=evm.model.Herato2101.426								
3302	Herato1701	1162694	1163152	+	0	NA	Intergenic	Intergenic	-157444	ID=evm.model.Herato1701.36.1-E1;Parent=evm.model.Herato1701.36.1								
2086	Herato1003	5761405	5762161	+	0	NA	Intergenic	Intergenic	-5110	ID=evm.model.Herato1003.189-E2;Parent=evm.model.Herato1003.189								
1322	Herato0821	29735	30439	+	0	NA	Intergenic	Intergenic	-2991	ID=evm.model.Herato0821.1-E3;Parent=evm.model.Herato0821.1								
1816	Herato0904	406232	406621	+	0	NA	Intergenic	Intergenic	13090	ID=evm.model.Herato0904.24-E2;Parent=evm.model.Herato0904.24								
5804	Herato2101	7969959	7970335	+	0	NA	Intergenic	Intergenic	-29289	ID=evm.model.Herato2101.280-E1;Parent=evm.model.Herato2101.280								
5174	Herato0411	829082	829657	+	0	NA	Intergenic	Intergenic	-7122	ID=novel_model_40-E1;Parent=novel_model_40								
2460	Herato0101	1686040	1686412	+	0	NA	Intergenic	Intergenic	3929	ID=evm.model.Herato0101.40.3-E1;Parent=evm.model.Herato0101.40.3								
4293	Herato1411	625002	625467	+	0	NA	Intergenic	Intergenic	-11252	ID=evm.model.Herato1411.17-E4;Parent=evm.model.Herato1411.17								
2699	Herato1108	7594442	7594671	+	0	NA	Intergenic	Intergenic	19195	ID=evm.model.Herato1108.341.1-E10;Parent=evm.model.Herato1108.341.1								
5067	Herato1801	4237499	4237641	+	0	NA	TTS (ID=evm.model.Herato1801.145-E6;Parent=evm.model.Herato1801.145)	-TTS (ID=evm.model.Herato1801.145-E6;Parent=evm.model.Herato1801.145)	1019	ID=evm.model.Herato1801.145-E6;Parent=evm.model.Herato1801.145								
1259	Herato1202	7207920	7208219	+	0	NA	Intergenic	Intergenic	-9274	ID=evm.model.Herato1202.286-E2;Parent=evm.model.Herato1202.286								
5464	Herato1705	2397719	2398053	+	0	NA	TTS (ID=evm.model.Herato1705.79-E5;Parent=evm.model.Herato1705.79)	-TTS (ID=evm.model.Herato1705.79-E5;Parent=evm.model.Herato1705.79)	675	ID=evm.model.Herato1705.79-E5;Parent=evm.model.Herato1705.79								
3824	Herato1301	11882530	11882884	+	0	NA	Intergenic	Intergenic	2439	ID=evm.model.Herato1301.468-E10;Parent=evm.model.Herato1301.468								
3574	Herato1301	1928147	1928673	+	0	NA	Intergenic	Intergenic	17354	ID=evm.model.Herato1301.52-E5;Parent=evm.model.Herato1301.52								
2976	Herato1202	2060352	2060645	+	0	NA	Intergenic	Intergenic	16689	ID=evm.model.Herato1202.72-E2;Parent=evm.model.Herato1202.72								
5401	Herato0411	1205481	1206103	+	0	NA	Intergenic	Intergenic	3107	ID=evm.model.Herato0411.25-E2;Parent=evm.model.Herato0411.25								
3475	Herato1202	18845256	18845906	+	0	NA	Intergenic	Intergenic	-6986	ID=evm.model.Herato1202.761-E5;Parent=evm.model.Herato1202.761								
4319	Herato1411	1477624	1478274	+	0	NA	Intergenic	Intergenic	-1172	ID=evm.model.Herato1411.42-E7;Parent=evm.model.Herato1411.42								
5531	Herato2101	4908169	4909180	+	0	NA	Intergenic	Intergenic	-1769	ID=evm.model.Herato2101.160-E1;Parent=evm.model.Herato2101.160								
3421	Herato2001	10756516	10756753	+	0	NA	Intergenic	Intergenic	31150	ID=evm.model.Herato2001.420-E8;Parent=evm.model.Herato2001.420								
3238	Herato0101	20278716	20279442	+	0	NA	Intergenic	Intergenic	-9371	ID=evm.model.Herato0101.779-E1;Parent=evm.model.Herato0101.779								
2274	Herato1007	651757	652210	+	0	NA	promoter-TSS (ID=evm.model.Herato1007.9-E6;Parent=evm.model.Herato1007.9)	-promoter-TSS (ID=evm.model.Herato1007.9-E6;Parent=evm.model.Herato1007.9)	-121	ID=evm.model.Herato1007.9-E6;Parent=evm.model.Herato1007.9								
2002	Herato1301	14547628	14547856	+	0	NA	Intergenic	Intergenic	-1291	ID=evm.model.Herato1301.551.2-E1;Parent=evm.model.Herato1301.551.2								
4902	Herato1910	4625365	4626124	+	0	NA	Intergenic	Intergenic	-34538	ID=evm.model.Herato1910.186-E1;Parent=evm.model.Herato1910.186								
4591	Herato2001	9952846	9953069	+	0	NA	Intergenic	Intergenic	2809	ID=evm.model.Herato2001.397-E3;Parent=evm.model.Herato2001.397								
1203	Herato0801	3269490	3269858	+	0	NA	promoter-TSS (ID=evm.model.Herato0801.63-E10;Parent=evm.model.Herato0801.63)	-promoter-TSS (ID=evm.model.Herato0801.63-E10;Parent=evm.model.Herato0801.63)	89	ID=evm.model.Herato0801.63-E9;Parent=evm.model.Herato0801.63								
5508	Herato0403	386199	386610	+	0	NA	Intergenic	Intergenic	5449	ID=evm.model.Herato0403.8-E12;Parent=evm.model.Herato0403.8								
5873	Herato0310	7316936	7317372	+	0	NA	TTS (ID=evm.model.Herato0310.180-E16;Parent=evm.model.Herato0310.180)	-TTS (ID=evm.model.Herato0310.180-E16;Parent=evm.model.Herato0310.180)	1071	ID=evm.model.Herato0310.180.1-E15;Parent=evm.model.Herato0310.180.1								
4261	Herato1408	5796024	5796478	+	0	NA	promoter-TSS (ID=evm.model.Herato1408.227-E1;Parent=evm.model.Herato1408.227)	-promoter-TSS (ID=evm.model.Herato1408.227-E1;Parent=evm.model.Herato1408.227)	-783	ID=evm.model.Herato1408.227-E1;Parent=evm.model.Herato1408.227								
2088	Herato1003	5779430	5780274	+	0	NA	Intergenic	Intergenic	1752	ID=evm.model.Herato1003.189-E8;Parent=evm.model.Herato1003.189								
1068	Herato0101	19317672	19318705	+	0	NA	Intergenic	Intergenic	32898	ID=evm.model.Herato0101.760-E1;Parent=evm.model.Herato0101.760								
4429	Herato1605	2773189	2773655	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.94-E6;Parent=evm.model.Herato1605.94)	-promoter-TSS (ID=evm.model.Herato1605.94-E6;Parent=evm.model.Herato1605.94)	76	ID=evm.model.Herato1605.94-E6;Parent=evm.model.Herato1605.94								
486	Herato0701	461765	462166	+	0	NA	Intergenic	Intergenic	11956	ID=evm.model.Herato0701.14.4-E2;Parent=evm.model.Herato0701.14.4								
2134	Herato1108	9939467	9941549	+	0	NA	Intergenic	Intergenic	-18395	ID=evm.model.Herato1108.448.1-E1;Parent=evm.model.Herato1108.448.1								
1354	Herato0821	967292	968005	+	0	NA	Intergenic	Intergenic	-43932	ID=evm.model.Herato0821.45-E1;Parent=evm.model.Herato0821.45								
4066	Herato1507	7081983	7082387	+	0	NA	Intergenic	Intergenic	-39880	ID=evm.model.Herato1507.249.1-E1;Parent=evm.model.Herato1507.249.1								
4213	Herato1910	707935	708405	+	0	NA	Intergenic	Intergenic	2928	ID=evm.model.Herato1910.53-E5;Parent=evm.model.Herato1910.53								
8	Herato0508	637759	637983	+	0	NA	promoter-TSS (ID=evm.model.Herato0508.29-E5;Parent=evm.model.Herato0508.29)	-promoter-TSS (ID=evm.model.Herato0508.29-E5;Parent=evm.model.Herato0508.29)	66	ID=evm.model.Herato0508.29-E5;Parent=evm.model.Herato0508.29								
3239	Herato1801	4438546	4438943	+	0	NA	Intergenic	Intergenic	19743	ID=evm.model.Herato1801.152-E2;Parent=evm.model.Herato1801.152								
