start	end	length	IDY	missing1	missing2	
4978217	4978422	205	0.8098	0.0293	0.0098	
6070275	6070666	391	0.7315	0.156	0.0332	
104889026	104889355	329	0.8571	0.0	0.0486	
104998866	104999225	359	0.7465	0.0641	0.1365	
18814324	18814887	563	0.2984	0.5364	0.1083	
23277129	23277317	188	0.9043	0.0106	0.0053	
23530437	23530710	273	0.9377	0.0073	0.0037	
139790917	139791316	399	0.6115	0.0952	0.2356	
54285152	54291342	6190	0.525	0.0981	0.2955	
66916177	66917148	971	0.3471	0.2008	0.4037	
159700728	159701138	410	0.0	0.0	1.0	
67799705	67801356	1651	0.338	0.3592	0.2362	
70227983	70228517	534	0.3052	0.5543	0.0861	
70229288	70229815	527	0.0	0.0	1.0	
70524236	70525251	1015	0.3813	0.2906	0.2995	
75670130	75670754	624	0.2981	0.2724	0.4022	
96037607	96038157	550	0.7473	0.0455	0.1255	
190751353	190752105	752	0.2234	0.5944	0.1449	
291324695	291324906	211	0.9336	0.0	0.0095	
117550704	117550875	171	0.0	0.0	1.0	
132485705	132485942	237	0.8017	0.0127	0.0633	
223173129	223173594	465	0.671	0.1806	0.0989	
166531816	166532609	793	0.0	0.0	1.0	
358194202	358194366	164	0.9024	0.0122	0.0	
183949825	183950081	256	0.832	0.0	0.0977	
275757170	275758100	930	0.2978	0.3237	0.3462	
282791802	282792123	321	0.8474	0.0312	0.0218	
283495250	283495514	264	0.8333	0.0	0.0265	
316554428	316554917	489	0.7751	0.0245	0.0982	
396205330	396205582	252	0.9008	0.0198	0.004	
402763659	402765278	1619	0.2007	0.727	0.0611	
482593377	482593884	507	0.4221	0.0848	0.432	
339256987	339257397	410	0.5829	0.0634	0.2659	
434139210	434139765	555	0.3459	0.573	0.0523	
438666467	438666656	189	0.836	0.0423	0.0423	
261639372	261639781	409	0.7873	0.1565	0.0147	
416694411	416695078	667	0.3898	0.4813	0.087	
416695825	416695998	173	0.896	0.0116	0.0578	
282799719	282801540	1821	0.257	0.5942	0.1214	
433869464	433869821	357	0.8571	0.0224	0.0532	
437169409	437169766	357	0.6415	0.0	0.2941	
418623092	418623601	509	0.609	0.1415	0.1906	
419776450	419776953	503	0.6899	0.1193	0.1233	
431464209	431464606	397	0.7053	0.0025	0.2443	
462584101	462584313	212	0.7453	0.0991	0.0	
347629072	347629738	666	0.458	0.0676	0.4204	
368547704	368548254	550	0.5727	0.0	0.4	
474842611	474843188	577	0.8354	0.0364	0.0121	
439667655	439667931	276	0.6993	0.0181	0.2391	
416700835	416701030	195	0.9692	0.0	0.0	
7247060	7247407	347	0.9625	0.0	0.0115	
12367478	12367875	397	0.8892	0.0151	0.0302	
23208835	23209198	363	0.6942	0.0193	0.1983	
23397331	23397907	576	0.6094	0.1875	0.1545	
25418120	25418474	354	0.8277	0.0367	0.0254	
37257592	37258192	600	0.8033	0.0233	0.0617	
59686870	59687280	410	0.8585	0.0098	0.0293	
59730714	59731276	562	0.8665	0.0231	0.0285	
94043614	94044097	483	0.9565	0.0041	0.0	
104995219	104995733	514	0.8638	0.037	0.0467	
105123835	105124080	245	0.8898	0.0327	0.0122	
110243038	110243436	398	0.907	0.0025	0.0101	
119409647	119410084	437	0.8627	0.0114	0.0297	
139608339	139608944	605	0.7934	0.0314	0.0479	
146906251	146906776	525	0.9676	0.0	0.0076	
163916442	163916921	479	0.8413	0.0063	0.0418	
168228642	168229018	376	0.9521	0.008	0.016	
168542153	168542463	310	0.9129	0.0	0.0129	
181514166	181514928	762	0.6286	0.2822	0.0236	
192123712	192124064	352	0.7926	0.0398	0.0739	
205895137	205895545	408	0.8971	0.0245	0.0098	
207040644	207041052	408	0.8799	0.0417	0.0368	
226095719	226096405	686	0.605	0.2216	0.0977	
226096698	226097855	1157	0.6871	0.0821	0.1167	
227782712	227783107	395	0.7241	0.0	0.1823	
252484122	252484545	423	0.7896	0.0898	0.0024	
258238596	258238945	349	0.7163	0.0602	0.1576	
267486752	267488265	1513	0.3972	0.1633	0.3648	
276483102	276483458	356	0.8708	0.0	0.0618	
277346093	277346647	554	0.7347	0.1877	0.0217	
282760854	282762033	1179	0.95	0.0	0.017	
282796593	282797026	433	0.7921	0.0901	0.0346	
282804381	282804799	418	0.8445	0.0263	0.0167	
282805203	282805500	297	0.9259	0.0	0.0337	
283324180	283325082	902	0.9047	0.0244	0.0022	
291326054	291326704	650	0.5662	0.0877	0.2769	
345991608	345991970	362	0.9254	0.011	0.0166	
346527879	346528107	228	0.9211	0.0	0.0307	
359458211	359458397	186	0.8656	0.0376	0.0376	
364618063	364618374	311	0.9196	0.0161	0.0	
368495697	368496075	378	0.8466	0.045	0.0185	
368815001	368815386	385	0.5532	0.3636	0.0442	
387786171	387786558	387	0.8501	0.0698	0.0	
392236840	392237346	506	0.9348	0.004	0.0079	
393360553	393360999	446	0.7668	0.0045	0.1413	
394501446	394501907	461	0.7202	0.0781	0.0998	
402648639	402648929	290	0.7276	0.1517	0.0414	
416692550	416693290	740	0.6297	0.0378	0.2216	
419640919	419641269	350	0.9743	0.0	0.0	
424472280	424472638	358	0.5866	0.1145	0.2011	
449694448	449695011	563	0.7798	0.0497	0.087	
474849571	474849952	381	0.8793	0.0157	0.0026	
474903632	474904089	457	0.8031	0.0372	0.035	
