PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_eratoUnique_5thdown.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_eratoUnique_5thdown_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6712	Herato1505	3311536	3312217	+	0	NA	Intergenic	Intergenic	5752	ID=evm.model.Herato1505.142.2-E2;Parent=evm.model.Herato1505.142.2								
8563	Herato0503	1239897	1240304	+	0	NA	Intergenic	Intergenic	21497	ID=evm.model.Herato0503.42-E2;Parent=evm.model.Herato0503.42								
8434	Herato2101	13263710	13264064	+	0	NA	Intergenic	Intergenic	3853	ID=evm.model.Herato2101.424-E4;Parent=evm.model.Herato2101.424								
5006	Herato1202	16507963	16508409	+	0	NA	Intergenic	Intergenic	-5369	ID=evm.model.Herato1202.656-E1;Parent=evm.model.Herato1202.656								
3509	Herato1007	1985904	1986531	+	0	NA	Intergenic	Intergenic	-10417	ID=evm.model.Herato1007.84-E2;Parent=evm.model.Herato1007.84								
7652	Herato0211	660196	660556	+	0	NA	Intergenic	Intergenic	11356	ID=evm.model.Herato0211.32.2-E22;Parent=evm.model.Herato0211.32.2								
4863	Herato1701	1099167	1099380	+	0	NA	Intergenic	Intergenic	-221094	ID=evm.model.Herato1701.36.1-E1;Parent=evm.model.Herato1701.36.1								
4628	Herato1605	607011	607170	+	0	NA	Intergenic	Intergenic	-31416	ID=evm.model.Herato1605.30-E1;Parent=evm.model.Herato1605.30								
1387	Herato1904	5756287	5757185	+	0	NA	Intergenic	Intergenic	51348	ID=evm.model.Herato1904.210-E2;Parent=evm.model.Herato1904.210								
1932	Herato0801	6986173	6986347	+	0	NA	promoter-TSS (ID=evm.model.Herato0801.208-E3;Parent=evm.model.Herato0801.208)	-promoter-TSS (ID=evm.model.Herato0801.208-E3;Parent=evm.model.Herato0801.208)	-778	ID=evm.model.Herato0801.208-E3;Parent=evm.model.Herato0801.208								
2634	Herato1001	8324	9328	+	0	NA	Intergenic	Intergenic	3498	ID=evm.model.Herato1001.1-E2;Parent=evm.model.Herato1001.1								
1785	Herato0101	12322479	12322803	+	0	NA	Intergenic	Intergenic	-2631	ID=evm.model.Herato0101.401_evm.model.Herato0101.403-E3;Parent=evm.model.Herato0101.401_evm.model.Herato0101.403								
8419	Herato0214	769262	769750	+	0	NA	Intergenic	Intergenic	-7987	ID=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46-E5;Parent=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46								
1250	Herato0701	8928051	8928336	+	0	NA	Intergenic	Intergenic	106966	ID=evm.model.Herato0701.375-E9;Parent=evm.model.Herato0701.375								
6642	Herato0411	6221405	6221581	+	0	NA	Intergenic	Intergenic	3239	ID=evm.model.Herato0411.146-E1;Parent=evm.model.Herato0411.146								
5810	Herato1301	17378470	17378785	+	0	NA	Intergenic	Intergenic	13941	ID=evm.model.Herato1301.616-E13;Parent=evm.model.Herato1301.616								
4893	Herato1701	1746413	1746610	+	0	NA	Intergenic	Intergenic	6236	ID=evm.model.Herato1701.55-E6;Parent=evm.model.Herato1701.55								
3957	Herato1507	332771	333702	+	0	NA	TTS (ID=evm.model.Herato1507.16-E2;Parent=evm.model.Herato1507.16)	-TTS (ID=evm.model.Herato1507.16-E2;Parent=evm.model.Herato1507.16)	928	ID=evm.model.Herato1507.16.1-E2;Parent=evm.model.Herato1507.16.1								
8409	Herato2001	12401901	12402164	+	0	NA	Intergenic	Intergenic	-4039	ID=evm.model.Herato2001.468-E1;Parent=evm.model.Herato2001.468								
3497	Herato1408	3459106	3459487	+	0	NA	Intergenic	Intergenic	-18375	ID=evm.model.Herato1408.117.1-E12;Parent=evm.model.Herato1408.117.1								
6531	Herato0215	257314	258143	+	0	NA	Intergenic	Intergenic	-2583	ID=evm.model.Herato0215.7-E10;Parent=evm.model.Herato0215.7								
7022	Herato0503	5253285	5253447	+	0	NA	Intergenic	Intergenic	-19374	ID=evm.model.Herato0503.170.1-E3;Parent=evm.model.Herato0503.170.1								
3919	Herato1904	2686518	2687022	+	0	NA	Intergenic	Intergenic	-34609	ID=evm.model.Herato1904.88-E1;Parent=evm.model.Herato1904.88								
728	Herato0801	141539	141834	+	0	NA	Intergenic	Intergenic	49865	ID=evm.model.Herato0801.5-E4;Parent=evm.model.Herato0801.5								
