start	end	length	IDY	missing1	missing2	
112957046	112957758	712	0.7865	0.052	0.0688	
150980263	150980538	275	0.9382	0.0	0.0145	
151056948	151057391	443	0.8939	0.0023	0.0519	
270809234	270810055	821	0.8928	0.0219	0.0438	
348750411	348750879	468	0.515	0.156	0.2842	
438419078	438419862	784	0.7309	0.0166	0.0855	
59234756	59235089	333	0.8769	0.0	0.045	
59271148	59271511	363	0.9394	0.0	0.0	
59271823	59272310	487	0.8624	0.0329	0.0513	
59297351	59299102	1751	0.9069	0.0188	0.016	
59317461	59318333	872	0.8796	0.0046	0.0321	
59339219	59339509	290	0.9552	0.0345	0.0034	
59348092	59348768	676	0.8891	0.0	0.0414	
59361215	59362437	1222	0.743	0.072	0.1187	
59367356	59367974	618	0.6359	0.0955	0.1521	
59372054	59372526	472	0.8814	0.0233	0.0297	
59382742	59383561	819	0.8486	0.033	0.0623	
59392547	59392938	391	0.9028	0.0205	0.0128	
59393806	59394005	199	0.9296	0.0452	0.0	
59400153	59400324	171	0.8772	0.0058	0.0175	
59403956	59404614	658	0.9149	0.0076	0.0137	
59405066	59405343	277	0.8736	0.0722	0.0144	
59407239	59408676	1437	0.8135	0.0466	0.071	
