start	end	length	IDY	missing1	missing2	
187675760	187676421	661	0.0	0.0	1.0	
95926368	95926638	270	0.8407	0.0444	0.0	
96011810	96012068	258	0.7326	0.0736	0.1589	
96108783	96109440	657	0.5921	0.3303	0.0289	
1074411	1075111	700	0.6429	0.1543	0.1186	
1079046	1079600	554	0.3466	0.3989	0.2184	
1153910	1154351	441	0.678	0.0499	0.2063	
1156544	1157701	1157	0.7018	0.0994	0.083	
1166882	1167050	168	0.8155	0.0833	0.0357	
1185101	1186006	905	0.6608	0.1138	0.1238	
1199991	1200441	450	0.5844	0.0111	0.3333	
1206257	1206426	169	0.8935	0.0	0.0	
96824246	96824646	400	0.8275	0.045	0.035	
188741551	188744468	2917	0.4344	0.2544	0.2448	
97025748	97026137	389	0.874	0.0051	0.036	
1490163	1490450	287	0.6829	0.1672	0.0627	
1506281	1507603	1322	0.3101	0.1513	0.4667	
1540681	1541612	931	0.3963	0.4436	0.0913	
97272905	97273192	287	0.0976	0.0	0.7631	
1614485	1614847	362	0.8398	0.0276	0.0276	
375184758	375185709	951	0.5994	0.123	0.1809	
1730493	1730859	366	0.0	0.0	1.0	
1734281	1734808	527	0.0	0.0	1.0	
1781542	1782458	916	0.452	0.4083	0.059	
1829921	1830528	607	0.5898	0.0807	0.2191	
1848222	1848481	259	0.8842	0.0	0.0541	
1873742	1874694	952	0.2374	0.4643	0.2742	
1936974	1937347	373	0.5201	0.3244	0.0724	
97634974	97635639	665	0.5744	0.0286	0.2887	
2026733	2027308	575	0.393	0.3043	0.2278	
2141652	2142137	485	0.1773	0.0309	0.7423	
2158324	2159128	804	0.2724	0.1505	0.5498	
2257837	2258235	398	0.691	0.0704	0.1558	
2294933	2295398	465	0.5226	0.0903	0.3333	
2305623	2307599	1976	0.2915	0.3077	0.3376	
2419810	2421741	1931	0.5883	0.0782	0.2305	
2436006	2436890	884	0.6652	0.017	0.233	
2445208	2445454	246	0.7724	0.0244	0.1057	
98396856	98397211	355	0.8535	0.0254	0.0338	
190269850	190270525	675	0.443	0.1126	0.3407	
98521824	98522492	668	0.3353	0.5958	0.024	
2764884	2766470	1586	0.2144	0.5952	0.1532	
98552760	98553382	622	0.3215	0.4486	0.1897	
2826932	2827465	533	0.5403	0.0038	0.3715	
2896123	2896540	417	0.7962	0.1151	0.012	
2914154	2914360	206	0.8107	0.0194	0.034	
3231268	3238646	7378	0.069	0.8731	0.0466	
3403291	3403509	218	0.7339	0.0321	0.1009	
98932765	98933697	932	0.2339	0.6416	0.0912	
98936289	98936506	217	0.0	0.0	1.0	
99061904	99062214	310	0.0	0.0	1.0	
3755344	3755626	282	0.9504	0.0	0.0	
3756156	3756439	283	0.7067	0.1908	0.0601	
3780184	3780859	675	0.3407	0.1748	0.4311	
99674520	99676081	1561	0.6214	0.0615	0.2217	
99699781	99700375	594	0.702	0.2121	0.0269	
99706907	99707230	323	0.9567	0.0	0.0062	
99775487	99776748	1261	0.2601	0.6638	0.0476	
4241747	4242569	822	0.2153	0.5888	0.1703	
