PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_eratoUnique_D1up.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D1_p05FC1_eratoUnique_D1up_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	Herato1003	6261414	6262146	+	0	NA	Intergenic	Intergenic	-12939	ID=evm.model.Herato1003.206-E1;Parent=evm.model.Herato1003.206								
1801	Herato1108	11242401	11242877	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.484.2-E1;Parent=evm.model.Herato1108.484.2)	-promoter-TSS (ID=evm.model.Herato1108.484.2-E1;Parent=evm.model.Herato1108.484.2)	-428	ID=evm.model.Herato1108.484.2-E1;Parent=evm.model.Herato1108.484.2								
71	Herato0601	3054108	3055052	+	0	NA	Intergenic	Intergenic	-72598	ID=evm.model.Herato0601.74-E1;Parent=evm.model.Herato0601.74								
1648	Herato1901	2327657	2327979	+	0	NA	promoter-TSS (ID=evm.model.Herato1901.66-E14;Parent=evm.model.Herato1901.66)	-promoter-TSS (ID=evm.model.Herato1901.66-E14;Parent=evm.model.Herato1901.66)	-337	ID=evm.model.Herato1901.66-E14;Parent=evm.model.Herato1901.66								
1481	Herato1005	3229480	3230388	+	0	NA	Intergenic	Intergenic	15029	ID=evm.model.Herato1005.164-E1;Parent=evm.model.Herato1005.164								
3596	Herato1904	4199253	4199409	+	0	NA	Intergenic	Intergenic	-6083	ID=evm.model.Herato1904.145-E2;Parent=evm.model.Herato1904.145								
3074	Herato0411	1206491	1207807	+	0	NA	Intergenic	Intergenic	1750	ID=evm.model.Herato0411.25-E2;Parent=evm.model.Herato0411.25								
3509	Herato0503	8880128	8880735	+	0	NA	Intergenic	Intergenic	-2985	ID=evm.model.Herato0503.337-E6;Parent=evm.model.Herato0503.337								
2927	Herato1805	2787751	2788184	+	0	NA	Intergenic	Intergenic	-14565	ID=evm.model.Herato1805.87-E1;Parent=evm.model.Herato1805.87								
2266	Herato1301	1349312	1349752	+	0	NA	Intergenic	Intergenic	54980	ID=evm.model.Herato1301.36-E12;Parent=evm.model.Herato1301.36								
3163	Herato1603	2030955	2031293	+	0	NA	Intergenic	Intergenic	-3401	ID=evm.model.Herato1603.59-E2;Parent=evm.model.Herato1603.59								
1178	Herato0101	21689644	21690526	+	0	NA	Intergenic	Intergenic	-1234	ID=evm.model.Herato0101.841-E4;Parent=evm.model.Herato0101.841								
2915	Herato1505	3165736	3165963	+	0	NA	Intergenic	Intergenic	2619	ID=evm.model.Herato1505.137-E4;Parent=evm.model.Herato1505.137								
1387	Herato1805	3736854	3737224	+	0	NA	Intergenic	Intergenic	-14247	ID=evm.model.Herato1805.104-E1;Parent=evm.model.Herato1805.104								
512	Herato0701	9028636	9030477	+	0	NA	Intergenic	Intergenic	5603	ID=evm.model.Herato0701.375-E9;Parent=evm.model.Herato0701.375								
1932	Herato1202	4228202	4228665	+	0	NA	Intergenic	Intergenic	-7305	ID=evm.model.Herato1202.150-E7;Parent=evm.model.Herato1202.150								
463	Herato0701	7644835	7645257	+	0	NA	Intergenic	Intergenic	7710	ID=evm.model.Herato0701.346-E1;Parent=evm.model.Herato0701.346								
517	Herato0701	9549691	9550024	+	0	NA	Intergenic	Intergenic	10279	ID=evm.model.Herato0701.397-E2;Parent=evm.model.Herato0701.397								
458	Herato1505	2099134	2099730	+	0	NA	Intergenic	Intergenic	-11591	ID=evm.model.Herato1505.85-E1;Parent=evm.model.Herato1505.85								
2634	Herato1910	4203784	4204265	+	0	NA	Intergenic	Intergenic	54612	ID=evm.model.Herato1910.177-E4;Parent=evm.model.Herato1910.177								
1785	Herato1507	6408538	6409191	+	0	NA	Intergenic	Intergenic	-4161	ID=evm.model.Herato1507.230-E1;Parent=evm.model.Herato1507.230								
1250	Herato1001	4699875	4700365	+	0	NA	promoter-TSS (ID=evm.model.Herato1001.160-E4;Parent=evm.model.Herato1001.160)	-promoter-TSS (ID=evm.model.Herato1001.160-E4;Parent=evm.model.Herato1001.160)	-658	ID=evm.model.Herato1001.160-E4;Parent=evm.model.Herato1001.160								
3588	Herato0101	6216810	6217317	+	0	NA	Intergenic	Intergenic	-35158	ID=evm.model.Herato0101.179-E4;Parent=evm.model.Herato0101.179								
1363	Herato1003	5482261	5483467	+	0	NA	Intergenic	Intergenic	6362	ID=evm.model.Herato1003.176-E3;Parent=evm.model.Herato1003.176								
722	Herato0701	18760643	18761162	+	0	NA	Intergenic	Intergenic	-34664	ID=evm.model.Herato0701.761-E1;Parent=evm.model.Herato0701.761								
2507	Herato2101	17002602	17003305	+	0	NA	Intergenic	Intergenic	-3656	ID=evm.model.Herato2101.521.3-E1;Parent=evm.model.Herato2101.521.3								
3051	Herato1507	9955990	9956339	+	0	NA	Intergenic	Intergenic	-3288	ID=evm.model.Herato1507.334-E1;Parent=evm.model.Herato1507.334								
1109	Herato0901	9335634	9336025	+	0	NA	Intergenic	Intergenic	6092	ID=evm.model.Herato0901.298_evm.model.Herato0901.299-E9;Parent=evm.model.Herato0901.298_evm.model.Herato0901.299								
2067	Herato1202	11115671	11115996	+	0	NA	Intergenic	Intergenic	-9759	ID=evm.model.Herato1202.442-E7;Parent=evm.model.Herato1202.442								
1630	Herato1411	3252841	3253299	+	0	NA	promoter-TSS (ID=novel_model_40x-E4;Parent=novel_model_40x)	-promoter-TSS (ID=novel_model_40x-E4;Parent=novel_model_40x)	720	ID=novel_model_40x-E3;Parent=novel_model_40x								
3497	Herato2001	1872173	1872551	+	0	NA	Intergenic	Intergenic	34714	ID=evm.model.Herato2001.38-E2;Parent=evm.model.Herato2001.38								
1597	Herato1411	652731	653793	+	0	NA	Intergenic	Intergenic	-3882	ID=evm.model.Herato1411.17-E2;Parent=evm.model.Herato1411.17								
3185	Herato1603	3006542	3007322	+	0	NA	Intergenic	Intergenic	11993	ID=evm.model.Herato1603.85-E4;Parent=evm.model.Herato1603.85								
3109	Herato1705	35238	35481	+	0	NA	Intergenic	Intergenic	-4480	ID=evm.model.Herato1705.3-E4;Parent=evm.model.Herato1705.3								
728	Herato0801	138626	139498	+	0	NA	Intergenic	Intergenic	47241	ID=evm.model.Herato0801.5-E4;Parent=evm.model.Herato0801.5								
1244	Herato1001	4615578	4616104	+	0	NA	Intergenic	Intergenic	11287	ID=evm.model.Herato1001.159-E5;Parent=evm.model.Herato1001.159								
2154	Herato0101	4117943	4118778	+	0	NA	Intergenic	Intergenic	23286	ID=evm.model.Herato0101.121-E1;Parent=evm.model.Herato0101.121								
1638	Herato1411	4577223	4577477	+	0	NA	Intergenic	Intergenic	-4583	ID=evm.model.Herato1411.176-E2;Parent=evm.model.Herato1411.176								
742	Herato0101	12203416	12203669	+	0	NA	Intergenic	Intergenic	-2597	ID=evm.model.Herato0101.392-E2;Parent=evm.model.Herato0101.392								
29	Herato1003	968749	968983	+	0	NA	Intergenic	Intergenic	-10191	ID=evm.model.Herato1003.24-E1;Parent=evm.model.Herato1003.24								
350	Herato0101	17423643	17424410	+	0	NA	TTS (ID=evm.model.Herato0101.680-E1;Parent=evm.model.Herato0101.680)	-TTS (ID=evm.model.Herato0101.680-E1;Parent=evm.model.Herato0101.680)	103	ID=evm.model.Herato0101.680-E1;Parent=evm.model.Herato0101.680								
1969	Herato1202	6552418	6552674	+	0	NA	Intergenic	Intergenic	-19110	ID=evm.model.Herato1202.271-E1;Parent=evm.model.Herato1202.271								
1810	Herato1507	7657605	7657914	+	0	NA	Intergenic	Intergenic	13081	ID=evm.model.Herato1507.267-E4;Parent=evm.model.Herato1507.267								
