start	end	length	IDY	missing1	missing2	
340058	340766	708	0.3941	0.3065	0.2246	
883714	884183	469	0.7633	0.049	0.0959	
1032736	1033042	306	0.8922	0.0294	0.0098	
1103072	1103787	715	0.7217	0.0727	0.1021	
1128986	1129253	267	0.9288	0.0037	0.0225	
1133735	1135764	2029	0.655	0.139	0.0946	
1169732	1172289	2557	0.3485	0.0821	0.5268	
1186382	1186604	222	0.9369	0.0045	0.0	
1234338	1235578	1240	0.6911	0.129	0.0371	
1235946	1236187	241	0.971	0.0	0.0083	
1388253	1388935	682	0.4589	0.2302	0.2566	
1490785	1491534	749	0.3525	0.3271	0.275	
1511738	1512843	1105	0.1729	0.1946	0.6018	
1647987	1648176	189	0.9841	0.0	0.0053	
1683976	1684245	269	0.7584	0.0929	0.0112	
1762147	1762592	445	0.6157	0.0247	0.2899	
1827048	1827718	670	0.5164	0.1582	0.2239	
1859729	1861396	1667	0.6395	0.1488	0.1326	
1866487	1866965	478	0.6736	0.0188	0.2071	
1881285	1881538	253	0.7826	0.0435	0.0316	
1885988	1886869	881	0.605	0.2293	0.0806	
1927834	1928080	246	0.9512	0.0	0.0	
1939643	1940071	428	0.0	0.0	1.0	
2023256	2023831	575	0.4487	0.1983	0.2852	
2029223	2029954	731	0.6211	0.026	0.2599	
2075608	2076145	537	0.1043	0.2626	0.5791	
2161264	2162382	1118	0.458	0.0921	0.39	
2166066	2166529	463	0.514	0.1944	0.1728	
2202812	2205001	2189	0.3102	0.3271	0.3106	
2255740	2257575	1835	0.5989	0.2632	0.0763	
2277416	2278031	615	0.2764	0.2325	0.452	
2278395	2278842	447	0.5928	0.1365	0.2483	
2283174	2283701	527	0.7552	0.0209	0.093	
2288884	2290127	1243	0.4256	0.177	0.3532	
2290516	2290950	434	0.6175	0.2051	0.0783	
2309260	2309770	510	0.5431	0.0745	0.2686	
2310071	2310672	601	0.5308	0.2795	0.1265	
2311228	2311752	524	0.5363	0.2882	0.1221	
2315686	2315940	254	0.874	0.0197	0.0394	
2316476	2317245	769	0.4707	0.2705	0.2016	
2324293	2324693	400	0.7	0.035	0.14	
2325442	2326499	1057	0.6197	0.2384	0.0672	
2338106	2339424	1318	0.2231	0.7162	0.0326	
2411240	2413024	1784	0.3632	0.162	0.4137	
2513597	2514581	984	0.2348	0.2398	0.437	
2579265	2580005	740	0.6568	0.0432	0.2095	
2627256	2628079	823	0.706	0.1142	0.0875	
2632322	2632778	456	0.8399	0.0329	0.0373	
2641065	2641281	216	0.9028	0.0	0.0139	
2648826	2649398	572	0.7063	0.1556	0.0437	
2688312	2689217	905	0.7912	0.0431	0.0343	
2819832	2820378	546	0.3828	0.3462	0.1795	
2833238	2833464	226	0.8982	0.0221	0.0044	
3189460	3189790	330	0.8303	0.003	0.0333	
3309836	3310540	704	0.3622	0.2727	0.3011	
3335458	3336253	795	0.4642	0.0981	0.361	
3399379	3399621	242	0.376	0.0248	0.5207	
3410505	3410805	300	0.6733	0.0067	0.23	
3692226	3692391	165	0.0	0.0	1.0	
3693310	3693914	604	0.644	0.2434	0.0298	
3695567	3696321	754	0.3727	0.2838	0.2958	
3696474	3697585	1111	0.4023	0.171	0.3888	
3707787	3708382	595	0.5378	0.0639	0.3227	
3726758	3727051	293	0.8089	0.0683	0.0478	
3751227	3752631	1404	0.5905	0.2856	0.0563	
3886801	3887483	682	0.3607	0.2683	0.3255	
3895287	3895831	544	0.5882	0.1581	0.1507	
3897329	3897547	218	0.9358	0.0	0.0	
3898048	3898399	351	0.8405	0.0057	0.0598	
3906164	3906569	405	0.7951	0.0395	0.079	
4282564	4282833	269	0.6394	0.1301	0.1524	
4283323	4283614	291	0.701	0.0206	0.2062	
4373627	4374050	423	0.7305	0.1135	0.0851	
4379947	4380600	653	0.3277	0.4839	0.173	
4422671	4423361	690	0.4043	0.3826	0.1362	
4511970	4512289	319	0.906	0.0408	0.0	
4547553	4547842	289	0.7266	0.0173	0.2007	
4585116	4585617	501	0.9082	0.012	0.002	
4604893	4605587	694	0.3905	0.0793	0.4611	
4611647	4611887	240	0.0	0.0	1.0	
4612478	4612871	393	0.5089	0.0153	0.4224	
4630565	4631179	614	0.4039	0.4088	0.1173	
4633323	4633758	435	0.6138	0.0874	0.2506	
4651906	4652296	390	0.5795	0.0897	0.2615	
