start	end	length	IDY	missing1	missing2	
388449	389394	945	0.4963	0.1249	0.2698	
907236	908612	1376	0.4702	0.0988	0.3241	
1164739	1168020	3281	0.0899	0.335	0.559	
1667812	1668817	1005	0.4318	0.1383	0.3502	
1786476	1786647	171	0.7836	0.152	0.0351	
1875808	1878903	3095	0.3577	0.1276	0.4514	
2005072	2005840	768	0.6836	0.1042	0.0924	
2062205	2062696	491	0.7515	0.0204	0.1303	
2218344	2219811	1467	0.4751	0.122	0.3292	
2220037	2220387	350	0.5543	0.4086	0.0	
2273272	2273432	160	0.8187	0.1187	0.0	
2442689	2443279	590	0.8542	0.0068	0.0508	
2590859	2591006	147	0.9796	0.0068	0.0	
2652497	2653123	626	0.5607	0.1901	0.1677	
2663893	2664255	362	0.8508	0.0525	0.011	
2664566	2665020	454	0.7555	0.0176	0.1806	
2896062	2897752	1690	0.4343	0.1231	0.3663	
3180319	3180822	503	0.0	1.0	0.0	
3378709	3379152	443	0.1806	0.7381	0.0023	
3687544	3688658	1114	0.6921	0.0637	0.1275	
3717316	3717796	480	0.7562	0.0813	0.0917	
3774904	3775130	226	0.8717	0.0531	0.0221	
3871193	3871752	559	0.7209	0.1646	0.025	
3874515	3874931	416	0.4351	0.0264	0.5048	
4471796	4474273	2477	0.2644	0.2087	0.4719	
4474994	4475851	857	0.042	0.1995	0.7386	
4671943	4672258	315	0.5905	0.1873	0.0762	
4723001	4723351	350	0.46	0.4771	0.0029	
5148137	5148424	287	0.5436	0.4007	0.0	
5261201	5264295	3094	0.4783	0.1448	0.288	
5297848	5297993	145	0.9241	0.0276	0.0	
7155743	7156276	533	0.3433	0.1614	0.4559	
7302008	7303569	1561	0.1666	0.0647	0.7527	
7491862	7492569	707	0.4569	0.3281	0.1641	
7621640	7621926	286	0.0	1.0	0.0	
7626629	7626868	239	0.9163	0.0	0.0209	
7870816	7871025	209	0.488	0.3493	0.0766	
7872779	7873094	315	0.8317	0.054	0.0032	
8233402	8234681	1279	0.62	0.122	0.154	
8478874	8480143	1269	0.5524	0.0898	0.3042	
8501139	8501562	423	0.6123	0.0969	0.2482	
8852472	8855079	2607	0.2754	0.2417	0.4534	
9214732	9214924	192	0.8698	0.0208	0.0	
9275028	9275209	181	0.9613	0.0	0.0	
10562159	10563483	1324	0.2009	0.1458	0.6231	
11122531	11127349	4818	0.0548	0.0376	0.9058	
11219211	11219745	534	0.8127	0.103	0.0225	
11596087	11596234	147	0.7891	0.034	0.0068	
11670233	11671766	1533	0.7241	0.1292	0.0476	
11683180	11683590	410	0.8634	0.0756	0.0098	
12220433	12222702	2269	0.6532	0.0529	0.2195	
12658462	12659679	1217	0.355	0.1331	0.4782	
12658462	12659679	1217	0.355	0.1331	0.4782	
12787683	12788769	1086	0.2578	0.1611	0.5571	
14031121	14031465	344	0.8895	0.0378	0.0029	
14324383	14327572	3189	0.3728	0.3308	0.2446	
14324383	14327572	3189	0.3728	0.3308	0.2446	
14328003	14328322	319	0.8182	0.0219	0.0502	
14348342	14348631	289	0.8789	0.0692	0.0	
14978352	14979874	1522	0.3804	0.0565	0.5256	
15495971	15496769	798	0.6855	0.0576	0.1516	
15812625	15813356	731	0.7825	0.1163	0.0602	
15971266	15972161	895	0.7352	0.0391	0.1184	
15978779	15979483	704	0.8807	0.0341	0.0099	
16033307	16034388	1081	0.6235	0.1277	0.2091	
16071841	16072865	1024	0.4717	0.0361	0.4531	
16163557	16163914	357	0.8936	0.0168	0.0448	
16246514	16246733	219	0.9452	0.0228	0.0046	
16325615	16325810	195	0.9333	0.0	0.0	
16379950	16380115	165	0.7455	0.0485	0.0424	
16579957	16580724	767	0.8761	0.0261	0.013	
16598634	16599608	974	0.5092	0.0329	0.4076	
16628316	16628470	154	0.8961	0.0	0.0195	
16763906	16764219	313	0.9425	0.0032	0.0096	
16765688	16767526	1838	0.6349	0.0424	0.278	
16773143	16773932	789	0.8555	0.0342	0.0368	
16781619	16781861	242	0.9669	0.0	0.0041	
16783102	16783811	709	0.7094	0.1114	0.1199	
16787684	16788115	431	0.5731	0.0882	0.2483	
17199842	17200413	571	0.8774	0.0105	0.042	
17270312	17271266	954	0.5723	0.0283	0.3438	
17294834	17295832	998	0.9038	0.015	0.013	
17659771	17660172	401	0.8653	0.0374	0.0399	
17676390	17676886	496	0.5444	0.3266	0.0706	
17775512	17775721	209	0.933	0.0191	0.0	
17940283	17940755	472	0.3644	0.5572	0.0339	
17941225	17941898	673	0.7771	0.0832	0.0877	
17994470	17994715	245	0.9347	0.0	0.0286	
18055326	18055712	386	0.9326	0.0104	0.0052	
18104200	18105073	873	0.8236	0.0286	0.0515	
18142596	18144250	1654	0.7521	0.0834	0.0786	
18256038	18256623	585	0.788	0.0803	0.053	
18493692	18494122	430	0.7791	0.0721	0.0698	
18553795	18553981	186	0.7688	0.1613	0.0215	
18833013	18833338	325	0.7723	0.0215	0.0646	
19297490	19298658	1168	0.1943	0.0976	0.7046	
19559885	19560302	417	0.0	1.0	0.0	
19985293	19985990	697	0.3874	0.089	0.4706	
20174529	20175050	521	0.7965	0.0077	0.0345	
20405049	20405821	772	0.6762	0.1567	0.1179	
20529224	20529476	252	0.5	0.3294	0.0794	
21059164	21059415	251	0.0	1.0	0.0	
21303072	21304385	1313	0.7654	0.0914	0.0708	
21391139	21392429	1290	0.2333	0.0775	0.6612	
21496187	21496359	172	0.936	0.0116	0.0	
21712109	21712302	193	0.5648	0.3161	0.0259	
21784332	21784495	163	0.908	0.0	0.0123	
22024716	22025215	499	0.0701	0.6653	0.2485	
22082340	22082929	589	0.0	1.0	0.0	
22221000	22221135	135	0.9259	0.0148	0.0	
22503663	22504458	795	0.9057	0.0252	0.0176	
22688244	22688532	288	0.9583	0.0	0.0	
