start	end	length	IDY	missing1	missing2	
10077059	10077582	523	0.9312	0.0115	0.0134	
101197777	101198387	610	0.6098	0.141	0.1459	
101895549	101896164	615	0.9024	0.0016	0.0033	
103764659	103765204	545	0.7174	0.0771	0.0936	
103804961	103806030	1069	0.5744	0.1572	0.1805	
103865220	103865914	694	0.5735	0.0432	0.2925	
104007436	104009290	1854	0.2546	0.0987	0.5965	
104766818	104767296	478	0.8389	0.0607	0.0188	
104831571	104832873	1302	0.6605	0.0991	0.0799	
104834243	104834652	409	0.8362	0.0	0.0538	
104851748	104852821	1073	0.6729	0.1249	0.1333	
104855563	104856080	517	0.8801	0.0251	0.0155	
104997373	104997693	320	0.8688	0.0563	0.0156	
105033823	105035577	1754	0.5912	0.077	0.2372	
10523862	10524125	263	0.8935	0.0	0.0418	
105282920	105283566	646	0.644	0.1254	0.1006	
105294408	105294935	527	0.8178	0.0816	0.0152	
10550059	10550362	303	0.934	0.0	0.0099	
10555217	10556278	1061	0.5834	0.1018	0.1913	
105620312	105620516	204	0.8627	0.0294	0.0686	
105647114	105647511	397	0.6448	0.0554	0.1688	
105828114	105828657	543	0.5727	0.1657	0.1455	
106462983	106465190	2207	0.6393	0.0997	0.1858	
107183064	107183921	857	0.3547	0.2357	0.3757	
107912171	107912523	352	0.875	0.0028	0.0398	
107943185	107944019	834	0.3945	0.1139	0.4508	
107947877	107948126	249	0.9639	0.0	0.004	
107952803	107955093	2290	0.3428	0.0341	0.5598	
107968846	107969198	352	0.9716	0.0	0.0	
109644107	109645017	910	0.6956	0.0615	0.1451	
10965125	10966181	1056	0.7074	0.1231	0.0625	
109741408	109742263	855	0.9146	0.0082	0.014	
11025548	11026084	536	0.7836	0.1325	0.0317	
111427589	111427985	396	0.8106	0.0429	0.0152	
111429112	111429493	381	0.874	0.021	0.0236	
11153884	11154190	306	0.817	0.0686	0.0229	
111638919	111639787	868	0.591	0.0115	0.3433	
111823165	111823612	447	0.8635	0.0	0.0268	
11199871	11200522	651	0.9263	0.0123	0.0154	
11220167	11220597	430	0.8884	0.0419	0.0163	
112204614	112205373	759	0.747	0.1238	0.0461	
112218072	112218934	862	0.4478	0.0708	0.3944	
112403538	112403991	453	0.8013	0.0088	0.0905	
112795110	112795418	308	0.9481	0.0	0.0032	
113319372	113319542	170	0.9529	0.0059	0.0	
113444965	113445632	667	0.6507	0.03	0.1739	
113479661	113480628	967	0.7146	0.062	0.1231	
113602239	113602952	713	0.7574	0.0659	0.0645	
113608615	113609267	652	0.5567	0.0276	0.3558	
114086729	114089402	2673	0.2847	0.4482	0.2162	
11415342	11415838	496	0.7278	0.1754	0.0524	
114271786	114272384	598	0.6237	0.0569	0.2408	
114281050	114281239	189	0.8042	0.0529	0.0582	
114511332	114512395	1063	0.8391	0.0245	0.0442	
114559564	114559858	294	0.7959	0.0034	0.085	
114563458	114563791	333	0.9309	0.0	0.036	
114597418	114598113	695	0.9007	0.0173	0.0187	
114875441	114875982	541	0.6599	0.1275	0.159	
114882521	114883064	543	0.8361	0.0479	0.0221	
114890449	114890887	438	0.9132	0.0068	0.032	
115116494	115116935	441	0.9773	0.0	0.0	
115279083	115279603	520	0.8519	0.0135	0.0404	
116509223	116509439	216	0.912	0.0417	0.0185	
11710171	11710721	550	0.8564	0.02	0.0345	
117635957	117636414	457	0.779	0.0547	0.0766	
117653111	117653350	239	0.9498	0.0	0.0042	
118456315	118457189	874	0.5995	0.0069	0.3192	
118940692	118941323	631	0.8415	0.0143	0.1014	
118969671	118970348	677	0.7917	0.0148	0.0517	
120453699	120454046	347	0.7205	0.0836	0.098	
120913595	120914508	913	0.6933	0.161	0.0789	
12287196	12287757	561	0.754	0.107	0.0588	
12364753	12365212	459	0.9412	0.0044	0.0022	
12452652	12453125	473	0.8732	0.0233	0.0296	
12545619	12547036	1417	0.5427	0.1687	0.1651	
12690944	12691201	257	0.9377	0.0	0.0	
12793713	12794651	938	0.6077	0.0096	0.3113	
128036406	128038880	2474	0.2692	0.0432	0.656	
12806904	12807768	864	0.8241	0.1053	0.0313	
129139954	129140594	640	0.7672	0.0156	0.0719	
129152217	129153200	983	0.6277	0.1831	0.0987	
129770623	129771514	891	0.6689	0.0864	0.1672	
130014595	130015344	749	0.2377	0.1842	0.5527	
130075031	130075519	488	0.7725	0.1311	0.0164	
13033638	13034943	1305	0.8881	0.013	0.0199	
130735492	130735787	295	0.7932	0.078	0.0407	
13110470	13110807	337	0.9674	0.0089	0.003	
131246402	131247220	818	0.6381	0.0587	0.2066	
131253391	131254451	1060	0.4453	0.1679	0.3189	
131272864	131273478	614	0.6205	0.0456	0.2769	
131276806	131277610	804	0.954	0.0025	0.0	
131299090	131299719	629	0.7663	0.0731	0.0922	
131478245	131478557	312	0.8814	0.0192	0.0	
131479131	131479558	427	0.5597	0.103	0.267	
13150310	13152571	2261	0.7983	0.0425	0.1053	
13161980	13162147	167	0.9222	0.0	0.0659	
131626905	131627703	798	0.6479	0.2744	0.0201	
13163044	13163807	763	0.7654	0.0236	0.1376	
131631770	131632159	389	0.8483	0.0257	0.0103	
131635048	131636816	1768	0.9321	0.0079	0.013	
131650457	131650944	487	0.7844	0.0698	0.0349	
131677138	131677675	537	0.7281	0.0335	0.1322	
131759256	131760965	1709	0.715	0.055	0.1691	
131809631	131810447	816	0.8444	0.0208	0.0809	
131826331	131826778	447	0.5817	0.2953	0.0694	
131827222	131829317	2095	0.4282	0.1437	0.3351	
132204933	132205804	871	0.5235	0.0953	0.2974	
132216640	132217354	714	0.8137	0.0196	0.091	
132435366	132435979	613	0.5971	0.0718	0.2692	
13260571	13260952	381	0.7192	0.0341	0.1706	
132794708	132795919	1211	0.7159	0.0933	0.0677	
133572929	133573692	763	0.7536	0.0249	0.0406	
134151049	134151463	414	0.9082	0.0048	0.0217	
134263634	134264238	604	0.803	0.0281	0.1391	
134286811	134287149	338	0.7751	0.0414	0.0769	
135119470	135120844	1374	0.3333	0.2234	0.3908	
136348313	136348841	528	0.6023	0.2386	0.0303	
136371699	136372764	1065	0.5315	0.0714	0.261	
138538596	138539299	703	0.7724	0.0156	0.1124	
138725517	138726017	500	0.956	0.024	0.0	
138733766	138736313	2547	0.7169	0.1763	0.0495	
138900745	138901272	527	0.7268	0.0512	0.0683	
139196520	139196956	436	0.961	0.0115	0.0023	
139440218	139440747	529	0.7958	0.0718	0.0321	
139563797	139564040	243	0.8971	0.0	0.037	
139605358	139605712	354	0.8362	0.0085	0.0565	
139785393	139785890	497	0.9416	0.002	0.0141	
139948662	139949894	1232	0.5146	0.2873	0.1339	
140055311	140055585	274	0.8978	0.0036	0.0073	
14007505	14009719	2214	0.5059	0.1287	0.2931	
140286120	140286301	181	0.9282	0.0276	0.0166	
140348346	140350000	1654	0.7878	0.006	0.1282	
140491255	140492010	755	0.5987	0.2199	0.094	
140529089	140530113	1024	0.5449	0.1084	0.2725	
14073777	14074172	395	0.838	0.0481	0.0127	
141371775	141372486	711	0.4529	0.1322	0.353	
142252583	142252985	402	0.8159	0.0323	0.0473	
142489762	142490138	376	0.9495	0.0213	0.0	
144069762	144070640	878	0.9146	0.0068	0.0159	
144071479	144072356	877	0.8917	0.0034	0.0536	
144249139	144249604	465	0.9183	0.0	0.0129	
144250059	144251078	1019	0.8508	0.0167	0.0579	
144332491	144333865	1374	0.6463	0.0961	0.1536	
14464979	14467992	3013	0.8487	0.0398	0.0372	
144796121	144796532	411	0.5474	0.3674	0.0243	
144911042	144911463	421	0.8337	0.0356	0.019	
144960427	144960709	282	0.8404	0.0	0.0567	
145062142	145063421	1279	0.5786	0.0547	0.3112	
145954521	145955107	586	0.8396	0.0188	0.0171	
145981721	145982695	974	0.6499	0.0339	0.1971	
146162611	146163263	652	0.7439	0.0552	0.0966	
146251059	146251277	218	0.8028	0.0	0.0642	
146428756	146429122	366	0.8743	0.0082	0.0137	
146442703	146443214	511	0.9139	0.0059	0.0098	
146469005	146470208	1203	0.6625	0.059	0.1804	
146537483	146537828	345	0.9565	0.0	0.0232	
146731003	146731471	468	0.7436	0.0256	0.094	
146738123	146738804	681	0.8767	0.0426	0.0206	
146740107	146740632	525	0.88	0.0057	0.0438	
146747033	146747512	479	0.9269	0.0251	0.0084	
146858477	146859283	806	0.8995	0.0149	0.0062	
146917566	146918303	737	0.8507	0.0204	0.0855	
146930430	146930967	537	0.8622	0.0056	0.0335	
146941569	146942149	580	0.7293	0.0448	0.1293	
146967349	146968450	1101	0.743	0.0599	0.0845	
14697097	14698113	1016	0.8583	0.0138	0.0443	
146985458	146987020	1562	0.8214	0.0109	0.1044	
148503783	148504065	282	0.9681	0.0	0.0	
148775453	148776353	900	0.7711	0.0756	0.0644	
148877782	148878321	539	0.6642	0.1725	0.1243	
148891145	148891638	493	0.8499	0.0243	0.0223	
148913314	148914000	686	0.7813	0.1152	0.0306	
148967962	148969329	1367	0.9151	0.011	0.0366	
148983794	148984169	375	0.9547	0.0	0.0053	
148994079	148995480	1401	0.4739	0.0971	0.3769	
149018006	149019235	1229	0.7209	0.1229	0.0545	
149025219	149027018	1799	0.2768	0.2651	0.3991	
149133423	149134348	925	0.6757	0.0897	0.1103	
149173060	149173663	603	0.6202	0.0829	0.1708	
149259716	149260243	527	0.7078	0.0949	0.112	
149318784	149319661	877	0.4755	0.1836	0.1688	
149332284	149333206	922	0.6345	0.077	0.2299	
150980266	150980534	268	0.9403	0.0	0.0149	
151016422	151017351	929	0.6803	0.0118	0.225	
151017989	151018419	430	0.8349	0.0093	0.0744	
151051523	151052445	922	0.602	0.1269	0.2028	
151056991	151057437	446	0.8587	0.0	0.0919	
151058798	151059821	1023	0.348	0.3148	0.2903	
151392349	151393254	905	0.5436	0.1459	0.1912	
151432752	151433724	972	0.6286	0.0813	0.2109	
151513429	151513980	551	0.9256	0.0127	0.0218	
151813010	151813928	918	0.7658	0.0479	0.0763	
152716090	152716841	751	0.5206	0.1731	0.1758	
15283022	15284074	1052	0.5827	0.0418	0.327	
153562515	153562800	285	0.8772	0.0316	0.0211	
154442129	154442823	694	0.8386	0.0202	0.0274	
155171869	155172275	406	0.8177	0.0049	0.0542	
156442342	156442879	537	0.8492	0.0242	0.0503	
157062778	157063759	981	0.6483	0.0877	0.1529	
15758675	15759252	577	0.4922	0.227	0.2288	
157600972	157601258	286	0.9545	0.014	0.0105	
157634335	157635787	1452	0.8499	0.0193	0.0441	
157775273	157775794	521	0.5931	0.1382	0.1727	
15788888	15789249	361	0.5706	0.241	0.1191	
158534607	158534989	382	0.9372	0.0236	0.0	
159325844	159326533	689	0.8215	0.0305	0.0668	
159327250	159327547	297	0.9259	0.0034	0.0	
159917863	159918434	571	0.8739	0.0088	0.056	
160973373	160974020	647	0.5564	0.1716	0.1808	
161382274	161383170	896	0.4364	0.0156	0.5167	
163169497	163169702	205	0.9415	0.0	0.0	
16342594	16343039	445	0.7461	0.0562	0.0629	
165958285	165959113	828	0.7053	0.0459	0.1727	
166005821	166006144	323	0.6935	0.0774	0.1146	
16604805	16605542	737	0.73	0.0963	0.1085	
166770776	166771223	447	0.8949	0.0089	0.0112	
166853374	166854521	1147	0.4612	0.2694	0.2005	
166892249	166892582	333	0.9489	0.003	0.0	
166910331	166910911	580	0.269	0.1448	0.5431	
167117120	167117591	471	0.7282	0.0531	0.1338	
168336108	168336712	604	0.9288	0.0116	0.0033	
168367502	168368994	1492	0.8009	0.0449	0.071	
168384897	168385439	542	0.8561	0.0129	0.0609	
168386039	168386579	540	0.8759	0.0204	0.0074	
168389479	168389834	355	0.9239	0.0	0.0	
168469708	168470451	743	0.8183	0.0713	0.0188	
168546836	168547204	368	0.8995	0.019	0.0082	
168683411	168683879	468	0.8846	0.0128	0.0406	
169028375	169029199	824	0.8859	0.0024	0.017	
171240429	171241341	912	0.8092	0.0537	0.0329	
171822082	171822491	409	0.6968	0.0489	0.1516	
172115379	172115877	498	0.4116	0.2149	0.3153	
172281708	172281945	237	0.8397	0.0127	0.0549	
172282559	172283033	474	0.8776	0.0148	0.0253	
17245729	17246314	585	0.506	0.3419	0.1179	
17259869	17260932	1063	0.7592	0.0546	0.1326	
17266176	17266508	332	0.9307	0.0	0.0	
172699103	172699386	283	0.8516	0.0318	0.0212	
17272191	17272553	362	0.8923	0.0387	0.0055	
172944711	172946008	1297	0.6623	0.0262	0.2159	
17298326	17298618	292	0.7808	0.0342	0.1096	
173188107	173188484	377	0.8515	0.0398	0.0106	
173868901	173869398	497	0.8813	0.008	0.0181	
173870250	173870447	197	0.9188	0.0	0.0305	
174203608	174204077	469	0.7356	0.0768	0.0277	
174786717	174787238	521	0.8695	0.0134	0.0307	
174800216	174800640	424	0.842	0.0236	0.0236	
174821416	174821666	250	0.844	0.0	0.072	
174853308	174854243	935	0.8471	0.0342	0.0545	
174944930	174946128	1198	0.5058	0.2129	0.2245	
175190585	175191002	417	0.5372	0.2038	0.1655	
175416819	175417446	627	0.8198	0.0032	0.0797	
175588544	175589016	472	0.8581	0.0042	0.0424	
175599693	175600283	590	0.4746	0.0542	0.4102	
175634784	175636083	1299	0.5928	0.1778	0.1647	
175659345	175660568	1223	0.5683	0.1218	0.215	
175748785	175749975	1190	0.6689	0.0782	0.1479	
175963403	175964188	785	0.5732	0.3312	0.0293	
175993776	175994280	504	0.7956	0.0159	0.0813	
176592221	176593545	1324	0.6103	0.0332	0.2727	
176920075	176921096	1021	0.3448	0.1352	0.4868	
177827022	177827485	463	0.6307	0.2505	0.0302	
177952784	177953324	540	0.5426	0.1074	0.287	
177962543	177963194	651	0.7727	0.0077	0.1352	
179286878	179287309	431	0.6427	0.0278	0.2042	
179385443	179386009	566	0.2032	0.3392	0.4329	
180097160	180097895	735	0.6789	0.0286	0.2054	
18108561	18109382	821	0.8758	0.0256	0.0085	
181248401	181249976	1575	0.593	0.127	0.2089	
18134258	18135124	866	0.7748	0.0427	0.06	
181859777	181860845	1068	0.2509	0.4148	0.2978	
18206022	18207155	1133	0.9726	0.0018	0.0	
182478875	182479264	389	0.7224	0.054	0.0771	
1827048	1827718	670	0.5164	0.1582	0.2239	
182864075	182864415	340	0.7118	0.1235	0.0618	
1859729	1861396	1667	0.6395	0.1488	0.1326	
186616827	186617689	862	0.7332	0.0186	0.094	
186677504	186678587	1083	0.2789	0.4321	0.2475	
186715681	186717262	1581	0.5908	0.105	0.2106	
187951873	187954091	2218	0.6398	0.1393	0.1204	
188594034	188595045	1011	0.817	0.0435	0.0643	
188690336	188692122	1786	0.6288	0.0515	0.1898	
189899338	189899658	320	0.8719	0.0	0.0406	
189911898	189912099	201	0.9851	0.0	0.0	
190023123	190023376	253	0.9091	0.0	0.0277	
190912321	190912570	249	0.9719	0.0	0.0	
192060135	192061227	1092	0.7958	0.0476	0.0321	
192382128	192382466	338	0.8935	0.0207	0.003	
192404906	192405398	492	0.9024	0.0081	0.0427	
194306886	194308039	1153	0.4727	0.1015	0.3374	
19455395	19455635	240	0.9375	0.0	0.0292	
19460393	19461182	789	0.9278	0.0076	0.0127	
195032508	195033416	908	0.554	0.1145	0.2379	
19826101	19826531	430	0.9209	0.0558	0.0093	
199958709	199960651	1942	0.4104	0.2817	0.2441	
199986094	199987088	994	0.5493	0.3078	0.0412	
200028003	200029420	1417	0.8829	0.0254	0.0113	
200045994	200047750	1756	0.4755	0.3007	0.1492	
200068469	200069317	848	0.7382	0.0342	0.1415	
200541985	200543941	1956	0.3768	0.3067	0.2699	
201517666	201518052	386	0.7202	0.0207	0.1425	
201530753	201531020	267	0.9588	0.0	0.0	
201536216	201536661	445	0.618	0.0404	0.2831	
201716066	201716271	205	0.9463	0.0	0.0	
202218475	202219033	558	0.4588	0.2545	0.2348	
202230445	202231003	558	0.6971	0.0968	0.1595	
202253464	202253780	316	0.8608	0.0127	0.057	
202264199	202264432	233	0.9099	0.0343	0.0	
202336424	202337140	716	0.6662	0.0964	0.1592	
203494251	203494721	470	0.6447	0.283	0.0277	
203501572	203502143	571	0.9527	0.0053	0.0053	
203506995	203507330	335	0.8925	0.0119	0.0299	
203656330	203657667	1337	0.8796	0.0322	0.0082	
204296545	204297820	1275	0.4675	0.1224	0.3639	
204473724	204474352	628	0.7946	0.086	0.0318	
204784590	204785918	1328	0.9074	0.0256	0.0075	
20480650	20482153	1503	0.6873	0.1823	0.0552	
204910237	204911086	849	0.6066	0.0966	0.2214	
204916924	204917597	673	0.8722	0.0223	0.0059	
