start	end	length	IDY	missing1	missing2	
12287213	12287734	521	0.7812	0.0921	0.0537	
132432359	132432797	438	0.8425	0.0091	0.0365	
194306631	194307892	1261	0.4084	0.1031	0.4084	
212054497	212054859	362	0.8702	0.0276	0.0166	
241712264	241713171	907	0.5171	0.1103	0.2878	
261200602	261201249	647	0.7821	0.1005	0.0309	
261210171	261210624	453	0.8146	0.106	0.011	
307871843	307872462	619	0.2892	0.3134	0.3489	
309771978	309772677	699	0.7725	0.0529	0.0515	
321444661	321445605	944	0.8305	0.0275	0.0297	
359012649	359013092	443	0.7652	0.0971	0.0429	
363958028	363959383	1355	0.7993	0.0236	0.0937	
394461617	394462666	1049	0.7807	0.0515	0.0801	
403295924	403296288	364	0.8654	0.022	0.0192	
415975033	415975588	555	0.9009	0.0252	0.0054	
429603659	429604709	1050	0.3019	0.36	0.2933	
438030792	438031732	940	0.3702	0.1734	0.4426	
439938845	439940170	1325	0.4891	0.2445	0.1472	
478316242	478317104	862	0.8329	0.0313	0.0348	
93244786	93245390	604	0.6639	0.1523	0.0795	
112957046	112957758	712	0.7865	0.052	0.0688	
150980263	150980538	275	0.9382	0.0	0.0145	
151056948	151057391	443	0.8939	0.0023	0.0519	
270809234	270810055	821	0.8928	0.0219	0.0438	
348750411	348750879	468	0.515	0.156	0.2842	
438419078	438419862	784	0.7309	0.0166	0.0855	
59234756	59235089	333	0.8769	0.0	0.045	
59271148	59271511	363	0.9394	0.0	0.0	
59271823	59272310	487	0.8624	0.0329	0.0513	
59297351	59299102	1751	0.9069	0.0188	0.016	
59317461	59318333	872	0.8796	0.0046	0.0321	
59339219	59339509	290	0.9552	0.0345	0.0034	
59348092	59348768	676	0.8891	0.0	0.0414	
59361215	59362437	1222	0.743	0.072	0.1187	
59367356	59367974	618	0.6359	0.0955	0.1521	
59372054	59372526	472	0.8814	0.0233	0.0297	
59382742	59383561	819	0.8486	0.033	0.0623	
59392547	59392938	391	0.9028	0.0205	0.0128	
59393806	59394005	199	0.9296	0.0452	0.0	
59400153	59400324	171	0.8772	0.0058	0.0175	
59403956	59404614	658	0.9149	0.0076	0.0137	
59405066	59405343	277	0.8736	0.0722	0.0144	
59407239	59408676	1437	0.8135	0.0466	0.071	
144355795	144355994	199	0.9045	0.0151	0.0101	
154906300	154908134	1834	0.7781	0.042	0.0573	
192507144	192507809	665	0.6827	0.1774	0.0195	
