start	end	length	IDY	missing1	missing2	
96839326	96839600	274	0.6277	0.2883	0.0474	
2294933	2295398	465	0.5226	0.0903	0.3333	
98521824	98522492	668	0.3353	0.5958	0.024	
5719386	5719788	402	0.8483	0.0448	0.0124	
7762804	7763142	338	0.8964	0.0	0.0118	
195394371	195394757	386	0.4585	0.3627	0.1321	
8263470	8263758	288	0.691	0.0694	0.184	
8854308	8855105	797	0.6236	0.1029	0.1907	
9162451	9163304	853	0.8347	0.0234	0.0258	
9266576	9266770	194	0.8351	0.0412	0.0052	
9455196	9456412	1216	0.4581	0.338	0.1234	
104933367	104934068	701	0.3738	0.5421	0.0243	
10800041	10800312	271	0.7528	0.0406	0.0664	
11157480	11157691	211	0.9431	0.0	0.0284	
14058905	14059069	164	0.7988	0.0671	0.1037	
110186777	110187027	250	0.364	0.004	0.584	
14924632	14924917	285	0.9228	0.0	0.014	
116441968	116442548	580	0.331	0.4931	0.1362	
116467690	116469346	1656	0.1178	0.6938	0.1775	
21387150	21387842	692	0.5405	0.1835	0.185	
117950742	117951446	704	0.5	0.4318	0.0128	
22304300	22304787	487	0.423	0.0103	0.5257	
22947694	22947998	304	0.7401	0.0099	0.1579	
23026609	23028443	1834	0.1712	0.5218	0.2775	
24725382	24726113	731	0.4761	0.4337	0.0301	
25125883	25126076	193	0.8394	0.0	0.0984	
25815069	25815295	226	0.8673	0.0	0.0265	
26356582	26357750	1168	0.1781	0.3656	0.4255	
26769284	26769697	413	0.6659	0.0751	0.1985	
26973597	26974582	985	0.2518	0.3949	0.3208	
28936527	28937918	1391	0.2473	0.1042	0.6003	
30382184	30384655	2471	0.2339	0.3792	0.3472	
30834098	30834983	885	0.3096	0.1966	0.4418	
34221381	34222819	1438	0.2065	0.6008	0.1293	
34283142	34283424	282	0.5745	0.0	0.3369	
34291018	34292292	1274	0.3179	0.2339	0.3791	
132420791	132421090	299	0.8194	0.0301	0.0268	
35147739	35148345	606	0.6353	0.066	0.1766	
223771054	223771692	638	0.5298	0.1552	0.2006	
37512166	37512458	292	0.8733	0.0	0.0548	
136492992	136493274	282	0.8865	0.0213	0.0	
413261291	413262757	1466	0.5709	0.2381	0.1214	
139263452	139263676	224	0.8929	0.0089	0.0045	
139701895	139702087	192	0.8646	0.0	0.0729	
44521779	44521992	213	0.8967	0.0563	0.0	
44580357	44580897	540	0.7722	0.0648	0.0241	
140594878	140595358	480	0.7	0.0	0.2146	
44719483	44719870	387	0.7519	0.0336	0.0517	
44832432	44833220	788	0.5127	0.1865	0.1865	
234302567	234302869	302	0.904	0.0033	0.0596	
49728059	49728914	855	0.724	0.0912	0.0994	
49862918	49863561	643	0.0	0.0	1.0	
146405206	146405563	357	0.9132	0.014	0.0112	
51719938	51720292	354	0.7599	0.0	0.0932	
51744238	51745211	973	0.2672	0.371	0.3155	
240045868	240046433	565	0.354	0.0142	0.5699	
55244294	55244552	258	0.8411	0.0465	0.0116	
149450605	149451369	764	0.4058	0.1715	0.3613	
151080772	151081120	348	0.8707	0.0	0.0287	
151190678	151191255	577	0.4298	0.0017	0.5234	
57530132	57530405	273	0.0	0.0	1.0	
338252806	338253084	278	0.0	0.0	1.0	
58806806	58807064	258	0.4922	0.1589	0.2984	
152448877	152449269	392	0.5842	0.2066	0.1122	
61855066	61855612	546	0.4652	0.2381	0.2289	
65433630	65434052	422	0.763	0.0284	0.0474	
159549816	159550459	643	0.0964	0.0855	0.804	
68166706	68167111	405	0.5654	0.2247	0.1284	
68575254	68575514	260	0.6308	0.0308	0.2385	
68638686	68639052	366	0.918	0.0	0.0082	
75557624	75558805	1181	0.2777	0.5563	0.1135	
169429339	169429513	174	0.8966	0.023	0.023	
170000194	170000616	422	0.7251	0.0379	0.1185	
170756736	170757334	598	0.6421	0.107	0.1221	
79670276	79672761	2485	0.3944	0.301	0.2487	
359758620	359759534	914	0.2396	0.454	0.2845	
86055376	86055594	218	0.7202	0.0505	0.1422	
86349777	86350771	994	0.4085	0.161	0.328	
86717286	86718412	1126	0.2478	0.0533	0.6421	
90070032	90070529	497	0.2877	0.1489	0.5252	
90591402	90592485	1083	0.3906	0.1357	0.4035	
91589439	91589643	204	0.9069	0.0	0.0245	
183919259	183919659	400	0.7675	0.0025	0.1425	
184717795	184718248	453	0.3046	0.0839	0.5541	
274058114	274058303	189	0.8677	0.0265	0.0265	
93300435	93301327	892	0.3711	0.4114	0.1267	
185281045	185281775	730	0.0301	0.0	0.963	
93485646	93485875	229	0.8428	0.0393	0.0175	
94436076	94437462	1386	0.3499	0.2987	0.316	
96047960	96048546	586	0.657	0.0375	0.1826	
189276275	189276716	441	0.6916	0.0317	0.1451	
376493898	376495082	1184	0.1115	0.5245	0.353	
98937247	98937875	628	0.3742	0.0318	0.543	
98939721	98941255	1534	0.6375	0.0971	0.1728	
99899060	99899494	434	0.53	0.0876	0.2834	
192596314	192596806	492	0.7886	0.002	0.1321	
