start	end	length	IDY	missing1	missing2	
4380284	4380544	260	0.6115	0.35	0.0	
7758301	7759420	1119	0.437	0.0581	0.479	
23115295	23115765	470	0.0	1.0	0.0	
23153577	23153774	197	0.9188	0.0355	0.0	
26596222	26596368	146	0.911	0.0068	0.0	
30336838	30337883	1045	0.2804	0.0957	0.5828	
33140495	33142282	1787	0.1102	0.0358	0.8349	
34049233	34057380	8147	0.0239	0.0252	0.9487	
44559088	44563834	4746	0.1323	0.137	0.7061	
47161828	47162012	184	0.663	0.1739	0.0	
51203645	51204383	738	0.4756	0.1233	0.3699	
51451293	51451522	229	0.8384	0.0786	0.0	
56321002	56321390	388	0.6727	0.2758	0.0026	
59235853	59238415	2562	0.5574	0.1362	0.2201	
59238841	59239493	652	0.3359	0.0077	0.6028	
59249730	59250799	1069	0.5706	0.0627	0.2937	
59255496	59256157	661	0.2617	0.056	0.6732	
59305779	59306236	457	0.7659	0.07	0.035	
59322289	59322518	229	0.8166	0.0786	0.0	
59327051	59327475	424	0.9057	0.0118	0.0236	
59330089	59330254	165	0.6909	0.1818	0.0606	
59331060	59331368	308	0.9481	0.0	0.0065	
59346975	59347399	424	0.816	0.0448	0.0731	
59371250	59371661	411	0.9221	0.0268	0.0024	
59381153	59381863	710	0.9099	0.0042	0.0197	
59382406	59382633	227	0.9207	0.0	0.022	
59386917	59387409	492	0.8232	0.0488	0.002	
59396681	59396957	276	0.9348	0.0036	0.0072	
59409490	59409703	213	0.9296	0.0	0.0423	
59414998	59415286	288	0.8194	0.0243	0.0035	
65317912	65319332	1420	0.2613	0.3535	0.3317	
69974007	69975339	1332	0.3701	0.0465	0.518	
73299877	73300191	314	0.0	1.0	0.0	
75377064	75380065	3001	0.2806	0.089	0.5868	
87133449	87133832	383	0.8329	0.0235	0.0601	
95814061	95814449	388	0.8711	0.0077	0.0438	
107748528	107749117	589	0.6333	0.1205	0.1443	
110738626	110743098	4472	0.1279	0.2299	0.6201	
112414248	112414720	472	0.4258	0.0191	0.5212	
112947166	112947420	254	0.0	1.0	0.0	
119121478	119121827	349	0.6562	0.1662	0.0401	
119126711	119127345	634	0.8864	0.0032	0.0205	
120911369	120912678	1309	0.4171	0.0604	0.4171	
134858785	134859471	686	0.3703	0.0539	0.5496	
134967733	134967990	257	0.9339	0.0	0.0233	
137115636	137117798	2162	0.4514	0.1772	0.2993	
137128545	137128755	210	0.919	0.0	0.0143	
139641511	139641788	277	0.8448	0.0397	0.0542	
139745749	139746353	604	0.394	0.0762	0.4834	
143635069	143638792	3723	0.1553	0.0505	0.7652	
148501541	148501877	336	0.7351	0.125	0.0923	
149951269	149951648	379	0.0	1.0	0.0	
150939949	150940969	1020	0.3402	0.1843	0.4324	
151018976	151019202	226	0.9469	0.0044	0.0177	
151019336	151020981	1645	0.6413	0.0529	0.2207	
159897081	159898003	922	0.3774	0.0987	0.474	
166670654	166671141	487	0.7885	0.0616	0.0595	
169929862	169930179	317	0.9148	0.0252	0.0221	
173058473	173058979	506	0.5435	0.0791	0.3123	
175088186	175093888	5702	0.1852	0.1759	0.6098	
204040816	204041030	214	0.9486	0.0	0.014	
206442556	206443068	512	0.834	0.0273	0.0137	
208262591	208263930	1339	0.106	0.0784	0.8021	
228808321	228808668	347	0.6772	0.2277	0.0115	
228993377	228993568	191	0.6597	0.199	0.0105	
229047547	229048570	1023	0.1632	0.2209	0.6031	
234266976	234267742	766	0.2702	0.2559	0.4504	
250597731	250599196	1465	0.3085	0.1618	0.4833	
254469515	254470266	751	0.5739	0.0266	0.3795	
256534764	256536417	1653	0.2045	0.1875	0.5844	
