start	end	length	IDY	missing1	missing2	
1153910	1154351	441	0.678	0.0499	0.2063	
1538220	1538828	608	0.5428	0.1151	0.2418	
1539821	1540645	824	0.3653	0.1966	0.4138	
1539821	1540645	824	0.3653	0.1966	0.4138	
2141652	2142137	485	0.1773	0.0309	0.7423	
2276677	2276915	238	0.7605	0.0	0.1807	
2416514	2416833	319	0.6959	0.2038	0.0846	
2445208	2445454	246	0.7724	0.0244	0.1057	
2462568	2463762	1194	0.366	0.2152	0.3375	
2579265	2580005	740	0.6568	0.0432	0.2095	
2641065	2641281	216	0.9028	0.0	0.0139	
3781140	3781606	466	0.7425	0.0515	0.1202	
3906164	3906569	405	0.7951	0.0395	0.079	
4241747	4242569	822	0.2153	0.5888	0.1703	
4338695	4338888	193	0.9067	0.0	0.0	
4601824	4602096	272	0.9191	0.0184	0.0	
4610629	4610928	299	0.7324	0.0502	0.1204	
5297711	5298011	300	0.5533	0.17	0.2467	
5297711	5298011	300	0.5533	0.17	0.2467	
5719386	5719788	402	0.8483	0.0448	0.0124	
5795788	5796082	294	0.7721	0.0238	0.119	
5942274	5942766	492	0.685	0.0752	0.124	
6423637	6424180	543	0.0	0.0	1.0	
6911140	6911514	374	0.4652	0.361	0.0749	
7247060	7247407	347	0.9625	0.0	0.0115	
7247060	7247407	347	0.9625	0.0	0.0115	
7829660	7829918	258	0.9186	0.0	0.0233	
7829660	7829918	258	0.9186	0.0	0.0233	
7830876	7831500	624	0.7468	0.0625	0.117	
7830876	7831500	624	0.7468	0.0625	0.117	
8162147	8163139	992	0.3165	0.5716	0.0907	
8234452	8234683	231	0.9524	0.0	0.0	
8234452	8234683	231	0.9524	0.0	0.0	
8263470	8263758	288	0.691	0.0694	0.184	
8294839	8295899	1060	0.3528	0.3491	0.1991	
8405268	8405571	303	0.8317	0.0033	0.0726	
8405268	8405571	303	0.8317	0.0033	0.0726	
8405268	8405571	303	0.8317	0.0033	0.0726	
8879106	8879460	354	0.5198	0.3927	0.0254	
9359407	9359806	399	0.7218	0.0852	0.0777	
10083922	10084295	373	0.8499	0.0027	0.0536	
10539439	10539713	274	0.6606	0.0365	0.2774	
11115859	11116412	553	0.3436	0.0253	0.6004	
11645173	11645786	613	0.602	0.1289	0.1697	
12151887	12152632	745	0.8161	0.0201	0.0456	
12177605	12177970	365	0.7123	0.0411	0.1671	
12287196	12287757	561	0.754	0.107	0.0588	
12287196	12287757	561	0.754	0.107	0.0588	
12337650	12338223	573	0.2251	0.6684	0.0995	
12367478	12367875	397	0.8892	0.0151	0.0302	
12387731	12388849	1118	0.7245	0.0912	0.0957	
12445630	12446332	702	0.8048	0.0527	0.0256	
12877628	12877803	175	0.9314	0.0114	0.0171	
13266850	13267252	402	0.7114	0.1269	0.0746	
13673578	13673843	265	0.7585	0.034	0.1283	
13680550	13681809	1259	0.2518	0.1104	0.6037	
13742782	13743008	226	0.9425	0.0	0.0088	
15366326	15367223	897	0.2297	0.0914	0.6455	
15367805	15368078	273	0.5458	0.0696	0.326	
15415303	15416161	858	0.6667	0.0455	0.2366	
15528182	15528871	689	0.4557	0.2554	0.2032	
15528182	15528871	689	0.4557	0.2554	0.2032	
15531006	15531128	122	0.9508	0.0	0.0	
16059755	16060540	785	0.7885	0.0675	0.065	
16283373	16283799	426	0.5446	0.2582	0.1573	
16313914	16314328	414	0.744	0.058	0.1063	
16313914	16314328	414	0.744	0.058	0.1063	
16313914	16314328	414	0.744	0.058	0.1063	
16604805	16605542	737	0.73	0.0963	0.1085	
17280878	17281157	279	0.8925	0.0179	0.0179	
17316311	17316561	250	0.0	0.0	1.0	
17867791	17868623	832	0.4796	0.0048	0.4279	
18111897	18112675	778	0.8946	0.0051	0.0283	
18113308	18113857	549	0.8543	0.0182	0.0674	
18128782	18129186	404	0.6609	0.0421	0.2302	
18138829	18139720	891	0.5948	0.1526	0.1122	
18294467	18294889	422	0.7275	0.1825	0.0355	
18294467	18294889	422	0.7275	0.1825	0.0355	
18308738	18310076	1338	0.6913	0.1637	0.083	
18310996	18312451	1455	0.9498	0.0089	0.0014	
18432062	18432380	318	0.8868	0.022	0.022	
18493039	18493448	409	0.7751	0.0342	0.11	
18557399	18558678	1279	0.8538	0.0078	0.0516	
19470901	19471100	199	0.9497	0.0	0.0	
21601914	21602309	395	0.6506	0.0962	0.157	
22257951	22258289	338	0.9112	0.0	0.0089	
22328122	22328466	344	0.9157	0.0087	0.0087	
23163696	23164255	559	0.9606	0.0036	0.0	
23208835	23209198	363	0.6942	0.0193	0.1983	
23208835	23209198	363	0.6942	0.0193	0.1983	
23262805	23263101	296	0.5946	0.0	0.3446	
23465713	23466169	456	0.8772	0.0154	0.0197	
23465713	23466169	456	0.8772	0.0154	0.0197	
23557954	23558312	358	0.7961	0.0475	0.0698	
24057203	24064612	7409	0.283	0.2791	0.399	
24101077	24102111	1034	0.0	0.0	1.0	
24110645	24111785	1140	0.4746	0.1895	0.193	
24596311	24597367	1056	0.4347	0.1941	0.2879	
24596311	24597367	1056	0.4347	0.1941	0.2879	
24652276	24652504	228	0.9254	0.0	0.0219	
24843555	24844077	522	0.7816	0.067	0.0421	
24843555	24844077	522	0.7816	0.067	0.0421	
24867864	24868178	314	0.7134	0.0	0.2038	
25074056	25074523	467	0.4968	0.0	0.4561	
25104106	25104645	539	0.538	0.282	0.1187	
25570652	25570984	332	0.9367	0.003	0.0	
26094079	26095702	1623	0.1312	0.0006	0.8521	
26873757	26876436	2679	0.2411	0.5577	0.1635	
26903424	26906632	3208	0.2765	0.592	0.0998	
26910041	26910703	662	0.577	0.1178	0.2477	
27000686	27000985	299	0.6756	0.0	0.2174	
27815807	27816771	964	0.3019	0.4056	0.1981	
30545013	30546117	1104	0.2926	0.2781	0.3832	
32765991	32766241	250	0.868	0.0	0.028	
32842081	32842616	535	0.286	0.5776	0.1103	
32848478	32848863	385	0.5584	0.0364	0.3143	
32848478	32848863	385	0.5584	0.0364	0.3143	
33945163	33945373	210	0.7429	0.0857	0.0476	
33978453	33979027	574	0.0	0.0	1.0	
34177378	34177862	484	0.3864	0.2789	0.2624	
34556502	34556817	315	0.5333	0.0317	0.3016	
34731894	34732493	599	0.2053	0.5342	0.2104	
34951115	34951667	552	0.3188	0.5435	0.0888	
35266699	35266961	262	0.7519	0.0344	0.084	
35294827	35295095	268	0.8694	0.0224	0.0187	
35294827	35295095	268	0.8694	0.0224	0.0187	
35303847	35304171	324	0.6142	0.0031	0.2963	
35307169	35307339	170	0.8529	0.0412	0.0353	
36092744	36093011	267	0.7715	0.0487	0.1086	
40154110	40155429	1319	0.4519	0.1638	0.2828	
40156547	40157933	1386	0.3766	0.1126	0.4423	
40225002	40225910	908	0.4637	0.3018	0.1806	
40270285	40274296	4011	0.2528	0.3321	0.3615	
41532787	41533167	380	0.3605	0.0158	0.5553	
41963664	41964040	376	0.7314	0.1037	0.0319	
42515401	42516213	812	0.6515	0.1195	0.0825	
43063954	43064505	551	0.7441	0.0544	0.1234	
44074389	44075107	718	0.3189	0.578	0.0529	
44559255	44559680	425	0.7247	0.0118	0.1459	
44600862	44601324	462	0.6234	0.0195	0.3074	
44653932	44654367	435	0.8368	0.0276	0.0322	
44684329	44685208	879	0.4892	0.2253	0.2184	
45317906	45319024	1118	0.6118	0.0644	0.1637	
46011021	46012176	1155	0.4407	0.2944	0.213	
46174097	46174659	562	0.4893	0.0979	0.3541	
46174097	46174659	562	0.4893	0.0979	0.3541	
49769627	49769883	256	0.8633	0.0664	0.0273	
49769627	49769883	256	0.8633	0.0664	0.0273	
49798158	49798416	258	0.8178	0.0349	0.0194	
50802984	50803367	383	0.5039	0.3107	0.1149	
51376332	51378370	2038	0.3788	0.5672	0.0113	
51493254	51493966	712	0.2317	0.6334	0.118	
53461673	53461989	316	0.8449	0.0032	0.0633	
53514622	53515439	817	0.6414	0.1799	0.0918	
54743895	54744333	438	0.9201	0.0068	0.0137	
55301131	55301437	306	0.8007	0.0	0.1438	
55306061	55306481	420	0.7976	0.0024	0.1452	
55469360	55469687	327	0.7554	0.0061	0.156	
55470096	55470353	257	0.8016	0.0	0.1089	
55470096	55470353	257	0.8016	0.0	0.1089	
55587876	55588271	395	0.6962	0.1722	0.0582	
56633598	56634412	814	0.6744	0.0516	0.145	
56633598	56634412	814	0.6744	0.0516	0.145	
57027079	57028553	1474	0.306	0.5278	0.1208	
57321253	57321498	245	0.5592	0.151	0.2204	
57468170	57469131	961	0.2112	0.4475	0.3111	
57536762	57537009	247	0.0	0.0	1.0	
57565175	57565687	512	0.5293	0.3496	0.0352	
57574133	57574630	497	0.8551	0.002	0.0141	
57584752	57584921	169	0.9645	0.0	0.0	
57611446	57611738	292	0.7979	0.0	0.1062	
57705742	57706477	735	0.3728	0.4449	0.1279	
59205514	59205805	291	0.8488	0.0687	0.0309	
59205514	59205805	291	0.8488	0.0687	0.0309	
59206744	59207284	540	0.8056	0.0426	0.0222	
59218548	59219010	462	0.9545	0.0022	0.0	
59218548	59219010	462	0.9545	0.0022	0.0	
59219599	59219988	389	0.8895	0.0129	0.0154	
59219599	59219988	389	0.8895	0.0129	0.0154	
59229119	59229320	201	0.7413	0.1393	0.0348	
59229774	59230232	458	0.7795	0.0	0.1528	
59234796	59235097	301	0.8738	0.0	0.0498	
59234796	59235097	301	0.8738	0.0	0.0498	
59235760	59236532	772	0.5013	0.3472	0.0738	
59235760	59236532	772	0.5013	0.3472	0.0738	
59235760	59236532	772	0.5013	0.3472	0.0738	
59236811	59237280	469	0.8145	0.0469	0.0107	
59237834	59238481	647	0.8655	0.0155	0.017	
59237834	59238481	647	0.8655	0.0155	0.017	
59237834	59238481	647	0.8655	0.0155	0.017	
59248391	59248918	527	0.7571	0.0455	0.093	
59249730	59250194	464	0.8707	0.0194	0.0194	
59249730	59250194	464	0.8707	0.0194	0.0194	
59250620	59251383	763	0.8191	0.0511	0.0262	
59250620	59251383	763	0.8191	0.0511	0.0262	
59250620	59251383	763	0.8191	0.0511	0.0262	
59254112	59254641	529	0.7902	0.0113	0.0548	
59254112	59254641	529	0.7902	0.0113	0.0548	
59254867	59255646	779	0.8151	0.0899	0.0462	
59267347	59267509	162	0.8951	0.0432	0.0	
59267347	59267509	162	0.8951	0.0432	0.0	
59267347	59267509	162	0.8951	0.0432	0.0	
59271166	59271511	345	0.9391	0.0	0.0	
59271166	59271511	345	0.9391	0.0	0.0	
59271789	59272314	525	0.861	0.0362	0.0476	
59271789	59272314	525	0.861	0.0362	0.0476	
59271789	59272314	525	0.861	0.0362	0.0476	
59271789	59272314	525	0.861	0.0362	0.0476	
59271789	59272314	525	0.861	0.0362	0.0476	
59271789	59272314	525	0.861	0.0362	0.0476	
59273338	59273618	280	0.9571	0.0	0.0	
59273338	59273618	280	0.9571	0.0	0.0	
59273338	59273618	280	0.9571	0.0	0.0	
59273338	59273618	280	0.9571	0.0	0.0	
59273338	59273618	280	0.9571	0.0	0.0	
59281076	59281457	381	0.8189	0.0289	0.0551	
59281076	59281457	381	0.8189	0.0289	0.0551	
59281076	59281457	381	0.8189	0.0289	0.0551	
59281076	59281457	381	0.8189	0.0289	0.0551	
59284808	59285119	311	0.8553	0.0547	0.0161	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59300794	59301081	287	0.9164	0.0105	0.0174	
59300794	59301081	287	0.9164	0.0105	0.0174	
59302337	59302547	210	0.7	0.0238	0.2286	
59305761	59306000	239	0.8159	0.1004	0.0209	
59305761	59306000	239	0.8159	0.1004	0.0209	
59305761	59306000	239	0.8159	0.1004	0.0209	
