start	end	length	IDY	missing1	missing2	
187427155	187427389	234	0.7735	0.0171	0.0684	
276913894	276914333	439	0.8383	0.0182	0.0046	
340058	340766	708	0.3941	0.3065	0.2246	
187675760	187676421	661	0.0	0.0	1.0	
95926368	95926638	270	0.8407	0.0444	0.0	
96238829	96239359	530	0.8453	0.0717	0.0208	
96428201	96429761	1560	0.4128	0.141	0.3865	
96465341	96465977	636	0.2075	0.478	0.2909	
1032736	1033042	306	0.8922	0.0294	0.0098	
1156544	1157701	1157	0.7018	0.0994	0.083	
1166882	1167050	168	0.8155	0.0833	0.0357	
1186382	1186604	222	0.9369	0.0045	0.0	
1206257	1206426	169	0.8935	0.0	0.0	
1235946	1236187	241	0.971	0.0	0.0083	
1243742	1244388	646	0.678	0.0619	0.2028	
188698519	188699198	679	0.3697	0.0692	0.4919	
188730455	188730682	227	0.8811	0.0	0.0617	
188740815	188741219	404	0.6634	0.0322	0.2054	
188741551	188744468	2917	0.4344	0.2544	0.2448	
1490785	1491534	749	0.3525	0.3271	0.275	
1540681	1541612	931	0.3963	0.4436	0.0913	
1647987	1648176	189	0.9841	0.0	0.0053	
375184758	375185709	951	0.5994	0.123	0.1809	
1683976	1684245	269	0.7584	0.0929	0.0112	
1730493	1730859	366	0.0	0.0	1.0	
1734281	1734808	527	0.0	0.0	1.0	
1762147	1762592	445	0.6157	0.0247	0.2899	
1785713	1786663	950	0.1495	0.7453	0.0979	
1848222	1848481	259	0.8842	0.0	0.0541	
189273563	189274033	470	0.6064	0.217	0.117	
1881285	1881538	253	0.7826	0.0435	0.0316	
1885988	1886869	881	0.605	0.2293	0.0806	
2023256	2023831	575	0.4487	0.1983	0.2852	
2026733	2027308	575	0.393	0.3043	0.2278	
97739850	97740596	746	0.0992	0.0174	0.8177	
2075608	2076145	537	0.1043	0.2626	0.5791	
97779612	97780618	1006	0.3429	0.1352	0.4503	
97781371	97781776	405	0.5679	0.1407	0.1802	
97782628	97782956	328	0.8445	0.003	0.0427	
189544421	189544657	236	0.9195	0.0	0.0085	
2166066	2166529	463	0.514	0.1944	0.1728	
2218441	2222968	4527	0.3894	0.3618	0.1836	
2255740	2257575	1835	0.5989	0.2632	0.0763	
2257837	2258235	398	0.691	0.0704	0.1558	
2272881	2273971	1090	0.5881	0.189	0.1156	
2277416	2278031	615	0.2764	0.2325	0.452	
2290516	2290950	434	0.6175	0.2051	0.0783	
279583736	279584374	638	0.6614	0.2931	0.0235	
189801306	189801579	273	0.8938	0.0256	0.0	
279759708	279759961	253	0.9051	0.0395	0.0079	
2419810	2421741	1931	0.5883	0.0782	0.2305	
2436006	2436890	884	0.6652	0.017	0.233	
2445208	2445454	246	0.7724	0.0244	0.1057	
98291734	98293111	1377	0.2702	0.6202	0.0733	
2641065	2641281	216	0.9028	0.0	0.0139	
2664561	2666397	1836	0.4684	0.1923	0.2821	
98521824	98522492	668	0.3353	0.5958	0.024	
2764884	2766470	1586	0.2144	0.5952	0.1532	
98552760	98553382	622	0.3215	0.4486	0.1897	
2896123	2896540	417	0.7962	0.1151	0.012	
2914154	2914360	206	0.8107	0.0194	0.034	
3309836	3310540	704	0.3622	0.2727	0.3011	
3399379	3399621	242	0.376	0.0248	0.5207	
3403291	3403509	218	0.7339	0.0321	0.1009	
3585902	3586506	604	0.5679	0.0132	0.3742	
3695567	3696321	754	0.3727	0.2838	0.2958	
3696474	3697585	1111	0.4023	0.171	0.3888	
191002410	191002537	127	0.378	0.0394	0.4173	
3755344	3755626	282	0.9504	0.0	0.0	
3782208	3782703	495	0.396	0.4606	0.1131	
3783117	3783693	576	0.8003	0.0122	0.0816	
3886801	3887483	682	0.3607	0.2683	0.3255	
3897329	3897547	218	0.9358	0.0	0.0	
3898048	3898399	351	0.8405	0.0057	0.0598	
99706907	99707230	323	0.9567	0.0	0.0062	
99742486	99743090	604	0.7798	0.1242	0.0579	
99768359	99768658	299	0.6421	0.0334	0.1605	
99775487	99776748	1261	0.2601	0.6638	0.0476	
99793770	99795184	1414	0.2737	0.1004	0.5721	
4241747	4242569	822	0.2153	0.5888	0.1703	
4244751	4245143	392	0.7296	0.0153	0.1429	
99870818	99872355	1537	0.2095	0.5732	0.1776	
4310285	4310565	280	0.6393	0.1964	0.0786	
99934042	99934293	251	0.8884	0.004	0.004	
4357526	4358028	502	0.755	0.0697	0.0378	
4372763	4373509	746	0.2574	0.2507	0.4035	
4379947	4380600	653	0.3277	0.4839	0.173	
4422671	4423361	690	0.4043	0.3826	0.1362	
4472611	4473699	1088	0.3833	0.2785	0.2518	
4473891	4474705	814	0.3894	0.3636	0.2088	
4511970	4512289	319	0.906	0.0408	0.0	
4610629	4610928	299	0.7324	0.0502	0.1204	
4612478	4612871	393	0.5089	0.0153	0.4224	
4630565	4631179	614	0.4039	0.4088	0.1173	
4633323	4633758	435	0.6138	0.0874	0.2506	
4720077	4720284	207	0.7246	0.0	0.2126	
100593190	100593375	185	0.9135	0.0	0.0216	
4896574	4897176	602	0.4684	0.4369	0.0382	
4906635	4907168	533	0.7749	0.075	0.0544	
4978217	4978422	205	0.8098	0.0293	0.0098	
5107266	5108545	1279	0.2932	0.1689	0.4988	
5126921	5127289	368	0.8886	0.0082	0.0353	
5137069	5138029	960	0.4417	0.1083	0.399	
192609433	192610968	1535	0.1329	0.0	0.8547	
5150359	5150581	222	0.8108	0.0	0.1486	
5152807	5153545	738	0.2304	0.2561	0.4919	
5244599	5245816	1217	0.516	0.3073	0.0764	
5247462	5247728	266	0.9248	0.0263	0.0038	
101083601	101084179	578	0.6107	0.1021	0.1609	
5261201	5262367	1166	0.6012	0.1081	0.1921	
101229392	101229982	590	0.6051	0.0729	0.178	
5452146	5452500	354	0.2232	0.0339	0.6723	
101241517	101242158	641	0.8081	0.0437	0.0577	
5595414	5596307	893	0.3595	0.3158	0.2688	
5647862	5648177	315	0.8413	0.0413	0.0286	
5719386	5719788	402	0.8483	0.0448	0.0124	
5744807	5745487	680	0.6529	0.0515	0.2	
5788597	5788889	292	0.8699	0.0034	0.0205	
5795788	5796082	294	0.7721	0.0238	0.119	
5808680	5809034	354	0.7316	0.0932	0.0311	
5926885	5927179	294	0.8129	0.0748	0.0068	
5960021	5960349	328	0.439	0.0549	0.439	
193537003	193537252	249	0.9438	0.004	0.0	
6018037	6018322	285	0.8421	0.0	0.1053	
6241318	6241677	359	0.8217	0.0139	0.0641	
6242160	6242747	587	0.4906	0.3884	0.0698	
6423637	6424180	543	0.0	0.0	1.0	
6716217	6716554	337	0.7626	0.0504	0.0772	
6755649	6755856	207	0.6425	0.0483	0.2705	
6789431	6789571	140	0.0	0.0	1.0	
6911140	6911514	374	0.4652	0.361	0.0749	
7502065	7503166	1101	0.2298	0.5786	0.1771	
7514433	7514752	319	0.7304	0.1034	0.0094	
7528734	7528921	187	0.8824	0.0053	0.0481	
7672768	7673038	270	0.8148	0.0037	0.1333	
7700895	7701230	335	0.4597	0.2896	0.2179	
7715826	7716318	492	0.5549	0.2703	0.124	
7730502	7731297	795	0.3157	0.3698	0.2868	
7733772	7735414	1642	0.5012	0.1553	0.2747	
7748485	7748665	180	0.9611	0.0056	0.0	
7750282	7750484	202	0.7921	0.0198	0.0347	
7755285	7755951	666	0.4384	0.4595	0.0766	
7758353	7758807	454	0.533	0.0	0.4383	
7759091	7759737	646	0.6734	0.1269	0.1362	
7762804	7763142	338	0.8964	0.0	0.0118	
7767058	7767269	211	0.0	0.0	1.0	
7797381	7797852	471	0.9512	0.0	0.0	
7798171	7798447	276	0.5507	0.1051	0.3007	
7814223	7815553	1330	0.2714	0.3481	0.3383	
7821525	7822729	1204	0.6653	0.0781	0.1736	
7897616	7898608	992	0.2349	0.131	0.6159	
8127253	8127489	236	0.1568	0.0	0.8008	
8234452	8234683	231	0.9524	0.0	0.0	
8243402	8243659	257	0.5525	0.3035	0.1128	
8247141	8248456	1315	0.5734	0.1171	0.1643	
8362610	8363322	712	0.4719	0.2149	0.2851	
8573705	8574269	564	0.1791	0.6401	0.1294	
103756682	103756934	252	0.8214	0.0	0.0873	
8740499	8741277	778	0.7147	0.0283	0.1272	
8755137	8755892	755	0.6318	0.0861	0.1854	
8756361	8758075	1714	0.2095	0.3932	0.3664	
8759385	8759813	428	0.2991	0.271	0.4019	
8774890	8775803	913	0.2815	0.2738	0.3987	
8887206	8887780	574	0.5819	0.0139	0.2753	
382433054	382433445	391	0.6419	0.0358	0.2353	
196282945	196283183	238	0.8445	0.0126	0.0	
9173962	9174299	337	0.6172	0.0119	0.3294	
9179158	9179540	382	0.589	0.0681	0.3063	
9297546	9298126	580	0.7	0.0224	0.1862	
104337884	104338269	385	0.6545	0.0961	0.1325	
9322008	9322862	854	0.8314	0.041	0.041	
9325183	9325691	508	0.7244	0.0748	0.1299	
9437413	9437658	245	0.7102	0.049	0.1633	
9463380	9463517	137	0.3358	0.0	0.6496	
9495005	9495318	313	0.0	0.0	1.0	
9519568	9520540	972	0.286	0.3529	0.3148	
9603607	9604957	1350	0.1807	0.5874	0.1889	
104728491	104729134	643	0.5848	0.0793	0.2877	
104806785	104807444	659	0.4219	0.2337	0.2838	
104813552	104813920	368	0.9565	0.0027	0.019	
104814146	104814801	655	0.9695	0.0015	0.0031	
9828687	9829158	471	0.9193	0.0	0.0	
104857205	104857479	274	0.8029	0.0036	0.1423	
9874192	9874682	490	0.0	0.0	1.0	
197257379	197260341	2962	0.0598	0.8785	0.0547	
9940478	9940720	242	0.8512	0.0165	0.0496	
104977882	104978923	1041	0.3987	0.3372	0.2181	
104991111	104991519	408	0.9216	0.0074	0.0049	
105030109	105030428	319	0.2445	0.0909	0.6301	
10080005	10080690	685	0.6248	0.0073	0.2788	
105075348	105076470	1122	0.5009	0.1417	0.2451	
105129962	105131297	1335	0.4127	0.3326	0.1873	
10180702	10180937	235	0.9319	0.0	0.0085	
105184501	105185746	1245	0.4016	0.2667	0.2715	
105189524	105189907	383	0.7023	0.1645	0.0392	
10567397	10572222	4825	0.0543	0.8473	0.0916	
10589304	10589680	376	0.8005	0.0	0.1117	
10618577	10619114	537	0.743	0.0	0.2179	
105566879	105567571	692	0.6329	0.0188	0.2977	
10800041	10800312	271	0.7528	0.0406	0.0664	
105654394	105654655	261	0.0307	0.092	0.8736	
10919353	10920197	844	0.269	0.5071	0.1884	
105713124	105713975	851	0.2808	0.1199	0.5676	
10991684	10991886	202	0.698	0.0446	0.1733	
198326369	198326694	325	0.7662	0.1323	0.0215	
11026647	11027137	490	0.5959	0.2633	0.0429	
11053752	11054017	265	0.8981	0.0	0.0604	
11063644	11063946	302	0.8046	0.0298	0.0397	
11064309	11065016	707	0.6662	0.2164	0.041	
11091307	11092118	811	0.2947	0.1529	0.5092	
11103178	11104095	917	0.4973	0.2781	0.145	
11108336	11108817	481	0.4657	0.3306	0.1767	
11109330	11109753	423	0.4846	0.0142	0.4634	
11113770	11114028	258	0.969	0.0039	0.0	
