start	end	length	IDY	missing1	missing2	
1113682	1114458	776	0.4523	0.0412	0.4652	
1538359	1539063	704	0.5597	0.1591	0.1662	
1540075	1540904	829	0.5259	0.1749	0.2268	
4879355	4879571	216	0.8889	0.0139	0.0093	
7829637	7829902	265	0.9132	0.0	0.0226	
8216848	8217245	397	0.7657	0.131	0.0302	
8478874	8480143	1269	0.5524	0.0898	0.3042	
8879268	8879575	307	0.8046	0.0814	0.0098	
12338115	12338309	194	0.9794	0.0	0.0	
12445743	12446100	357	0.9132	0.0056	0.0252	
13924885	13925269	384	0.7318	0.1354	0.0339	
14231571	14231762	191	0.8063	0.0681	0.0209	
15102293	15102450	157	0.8854	0.0127	0.0318	
15528289	15528699	410	0.6439	0.1927	0.0366	
16313915	16314160	245	0.8245	0.0694	0.0041	
17280939	17281105	166	0.9217	0.0	0.0301	
18139295	18139679	384	0.7448	0.0729	0.0339	
18256038	18256623	585	0.788	0.0803	0.053	
18294542	18294845	303	0.8779	0.0297	0.0198	
18493093	18493401	308	0.763	0.0357	0.1299	
22194872	22196413	1541	0.3978	0.1259	0.4166	
23465599	23466120	521	0.7505	0.0384	0.1209	
24652177	24652513	336	0.881	0.0089	0.0536	
24797270	24797402	132	0.8561	0.0303	0.0	
26094038	26096451	2413	0.1007	0.0162	0.8707	
35147156	35148109	953	0.7461	0.0178	0.0976	
35294820	35295012	192	0.8802	0.0052	0.026	
37105943	37106343	400	0.74	0.025	0.1425	
37108386	37109529	1143	0.1741	0.1391	0.6527	
40317578	40318318	740	0.4162	0.4149	0.1014	
44700451	44700645	194	0.8969	0.0258	0.0052	
46174427	46174695	268	0.8582	0.0075	0.0	
49798151	49798391	240	0.8125	0.0375	0.0208	
53461685	53462077	392	0.7551	0.0255	0.1276	
56189487	56189930	443	0.6072	0.0903	0.2438	
56321002	56321390	388	0.6727	0.2758	0.0026	
56633674	56634309	635	0.6535	0.0504	0.1669	
57321243	57321610	367	0.5504	0.188	0.1744	
58285953	58286477	524	0.2595	0.166	0.5229	
59205467	59205893	426	0.7934	0.0516	0.0446	
59206694	59206978	284	0.9225	0.0035	0.0	
59235853	59238415	2562	0.5574	0.1362	0.2201	
59249730	59250799	1069	0.5706	0.0627	0.2937	
59252468	59254598	2130	0.362	0.1103	0.4756	
59267344	59267507	163	0.8896	0.0429	0.0	
59271823	59272310	487	0.8624	0.0329	0.0513	
59273274	59273608	334	0.9641	0.0	0.0	
59281070	59281382	312	0.8077	0.0353	0.0641	
59297351	59299102	1751	0.9069	0.0188	0.016	
59302202	59302831	629	0.3768	0.0143	0.5771	
59305779	59306236	457	0.7659	0.07	0.035	
59306718	59307194	476	0.7878	0.0462	0.0672	
59308425	59308600	175	0.9086	0.04	0.0	
59313182	59313498	316	0.9114	0.0	0.0443	
59315415	59315576	161	0.8199	0.0186	0.0124	
59316893	59317115	222	0.8964	0.0	0.0	
59317461	59318333	872	0.8796	0.0046	0.0321	
59319213	59321070	1857	0.4949	0.1427	0.3236	
59322289	59322518	229	0.8166	0.0786	0.0	
59327051	59327475	424	0.9057	0.0118	0.0236	
59327680	59328703	1023	0.6813	0.0235	0.2053	
59329223	59329516	293	0.8157	0.058	0.0068	
59330089	59330254	165	0.6909	0.1818	0.0606	
59331060	59331368	308	0.9481	0.0	0.0065	
59332425	59333737	1312	0.875	0.0183	0.0191	
59335065	59335444	379	0.9974	0.0	0.0	
59335996	59336523	527	0.945	0.0133	0.0057	
59339219	59339509	290	0.9552	0.0345	0.0034	
59348092	59348768	676	0.8891	0.0	0.0414	
59349236	59349525	289	0.917	0.0208	0.0208	
59349956	59350478	522	0.9349	0.0096	0.0	
59352336	59353053	717	0.8117	0.0432	0.0516	
59353263	59353610	347	0.7723	0.0259	0.1354	
59358979	59359256	277	0.8773	0.0144	0.0361	
59359650	59360128	478	0.3703	0.023	0.5795	
59360538	59360854	316	0.9589	0.0	0.0	
59361215	59362437	1222	0.743	0.072	0.1187	
59366020	59366897	877	0.4036	0.0958	0.4698	
59367356	59367974	618	0.6359	0.0955	0.1521	
59371250	59371661	411	0.9221	0.0268	0.0024	
59372054	59372526	472	0.8814	0.0233	0.0297	
59373317	59373568	251	0.8884	0.0398	0.0	
59375083	59375919	836	0.6364	0.1136	0.1687	
59376830	59377514	684	0.7982	0.0614	0.0526	
59378495	59378789	294	0.8571	0.1224	0.0	
59380308	59380718	410	0.9171	0.039	0.0	
59381153	59381863	710	0.9099	0.0042	0.0197	
59382406	59382633	227	0.9207	0.0	0.022	
59382742	59383561	819	0.8486	0.033	0.0623	
59384096	59384257	161	0.9689	0.0	0.0	
59386292	59386769	477	0.8449	0.0	0.044	
