start	end	length	IDY	missing1	missing2	
297139780	297140256	476	0.0	0.0	1.0	
121321899	121322258	359	0.7772	0.0167	0.1393	
149363039	149364290	1251	0.5412	0.1487	0.2406	
155901874	155902259	385	0.5818	0.0156	0.2857	
85254780	85255397	617	0.3452	0.5251	0.1021	
249722100	249722327	227	0.7709	0.0441	0.0969	
382529992	382530177	185	0.7405	0.0973	0.0973	
425724562	425724744	182	0.967	0.0	0.0	
349061620	349061796	176	0.9545	0.0227	0.0	
34951115	34951667	552	0.3188	0.5435	0.0888	
431036581	431037941	1360	0.3029	0.6301	0.0324	
356170058	356170294	236	0.8729	0.0381	0.0466	
85353927	85354776	849	0.424	0.4299	0.1237	
7247060	7247407	347	0.9625	0.0	0.0115	
23208835	23209198	363	0.6942	0.0193	0.1983	
60310238	60310866	628	0.5111	0.0048	0.465	
168592200	168592663	463	0.8985	0.0022	0.0324	
197795482	197796108	626	0.6054	0.1102	0.2061	
207040644	207041052	408	0.8799	0.0417	0.0368	
224585350	224585967	617	0.8331	0.0276	0.0292	
255772557	255773024	467	0.9208	0.0043	0.0128	
283290678	283291234	556	0.7752	0.0629	0.0989	
start	end	length	IDY	missing1	missing2	
297139780	297140256	476	0.0	0.0	1.0	
121321899	121322258	359	0.7772	0.0167	0.1393	
149363039	149364290	1251	0.5412	0.1487	0.2406	
155901874	155902259	385	0.5818	0.0156	0.2857	
85254780	85255397	617	0.3452	0.5251	0.1021	
249722100	249722327	227	0.7709	0.0441	0.0969	
382529992	382530177	185	0.7405	0.0973	0.0973	
425724562	425724744	182	0.967	0.0	0.0	
349061620	349061796	176	0.9545	0.0227	0.0	
34951115	34951667	552	0.3188	0.5435	0.0888	
431036581	431037941	1360	0.3029	0.6301	0.0324	
356170058	356170294	236	0.8729	0.0381	0.0466	
85353927	85354776	849	0.424	0.4299	0.1237	
7247060	7247407	347	0.9625	0.0	0.0115	
23208835	23209198	363	0.6942	0.0193	0.1983	
60310238	60310866	628	0.5111	0.0048	0.465	
168592200	168592663	463	0.8985	0.0022	0.0324	
197795482	197796108	626	0.6054	0.1102	0.2061	
207040644	207041052	408	0.8799	0.0417	0.0368	
224585350	224585967	617	0.8331	0.0276	0.0292	
255772557	255773024	467	0.9208	0.0043	0.0128	
283290678	283291234	556	0.7752	0.0629	0.0989	
