start	end	length	IDY	missing1	missing2	
607913	608992	1079	0.4819	0.2743	0.2002	
2273272	2273432	160	0.8187	0.1187	0.0	
2463158	2463406	248	0.8226	0.004	0.0565	
3231490	3231850	360	0.5861	0.0222	0.3306	
3874515	3874931	416	0.4351	0.0264	0.5048	
4417723	4418564	841	0.4078	0.0892	0.4376	
4708613	4709098	485	0.7753	0.0433	0.0227	
7491862	7492569	707	0.4569	0.3281	0.1641	
7621640	7621926	286	0.0	1.0	0.0	
7762772	7765481	2709	0.3429	0.1082	0.5083	
7795072	7795337	265	0.8264	0.1019	0.0377	
8740797	8741141	344	0.9273	0.0	0.0	
8747677	8747886	209	0.866	0.0239	0.0144	
8748520	8748694	174	0.9425	0.0115	0.0	
9181812	9182713	901	0.6804	0.0577	0.1465	
9469467	9469656	189	0.9418	0.0053	0.0	
11901949	11902533	584	0.8065	0.0205	0.0223	
13278408	13278589	181	0.884	0.0387	0.0	
13966690	13966964	274	0.7883	0.1168	0.0109	
15335058	15335421	363	0.5124	0.146	0.2672	
16157637	16158217	580	0.819	0.0655	0.0397	
16628316	16628470	154	0.8961	0.0	0.0195	
17294834	17295832	998	0.9038	0.015	0.013	
17918595	17918913	318	0.6918	0.1195	0.1289	
18104200	18105073	873	0.8236	0.0286	0.0515	
18128843	18129194	351	0.6667	0.0114	0.2707	
18142596	18144250	1654	0.7521	0.0834	0.0786	
18144685	18144968	283	0.742	0.1484	0.0071	
18553795	18553981	186	0.7688	0.1613	0.0215	
19463950	19464417	467	0.4133	0.4604	0.0428	
20174529	20175050	521	0.7965	0.0077	0.0345	
21924009	21924636	627	0.9298	0.0112	0.0016	
22280626	22280994	368	0.9022	0.0163	0.038	
22298653	22299034	381	0.8819	0.021	0.0184	
23035532	23035996	464	0.8793	0.0022	0.0453	
23452643	23452880	237	0.9241	0.0084	0.0253	
23533410	23534373	963	0.9564	0.0	0.0104	
23545700	23546112	412	0.6796	0.25	0.0121	
23547655	23548253	598	0.4967	0.0669	0.4064	
23550063	23550907	844	0.2464	0.0415	0.6919	
23580522	23580806	284	0.8099	0.088	0.0106	
23691326	23692106	780	0.8282	0.0397	0.0603	
23758327	23758622	295	0.8983	0.0508	0.0034	
24429681	24430003	322	0.9099	0.0031	0.0093	
24724179	24725532	1353	0.1885	0.1035	0.6911	
24725831	24726106	275	0.9273	0.0	0.0255	
25876344	25876683	339	0.6726	0.2832	0.0	
26063192	26063906	714	0.5966	0.1261	0.2017	
26973943	26975348	1405	0.2413	0.2861	0.4199	
29038694	29039993	1299	0.6759	0.087	0.097	
30024054	30024279	225	0.9244	0.0311	0.0	
34282209	34282497	288	0.6667	0.1076	0.0799	
35010987	35012245	1258	0.225	0.097	0.6049	
35130092	35130442	350	0.6486	0.06	0.2086	
35160078	35160897	819	0.5702	0.0684	0.2613	
36785058	36785580	522	0.7375	0.0441	0.0785	
37020933	37021828	895	0.6056	0.1229	0.1251	
37052813	37054158	1345	0.3257	0.1844	0.4193	
37076991	37077765	774	0.5388	0.1835	0.168	
37104917	37105369	452	0.573	0.1549	0.1814	
37116778	37117203	425	0.5553	0.2776	0.0918	
37160986	37161823	837	0.7324	0.0884	0.1386	
37203823	37204340	517	0.5532	0.1934	0.1644	
37222623	37223217	594	0.5219	0.0842	0.271	
37226366	37226704	338	0.4734	0.0799	0.3343	
39686037	39688401	2364	0.4213	0.0749	0.4374	
43009594	43009986	392	0.2857	0.1301	0.5408	
43620285	43620570	285	0.0	1.0	0.0	
44625844	44627567	1723	0.4382	0.1526	0.296	
44831404	44833220	1816	0.3249	0.2478	0.3662	
45325496	45327578	2082	0.2296	0.146	0.5548	
49136765	49137026	261	0.7893	0.1303	0.0	
51489300	51489592	292	0.8322	0.0308	0.0308	
53446481	53446759	278	0.7014	0.0252	0.205	
57076265	57076819	554	0.8051	0.0361	0.0596	
57565274	57565636	362	0.6381	0.2265	0.0304	
57572452	57572655	203	0.9113	0.0	0.0197	
57595500	57595674	174	0.9828	0.0	0.0	
59367356	59367974	618	0.6359	0.0955	0.1521	
59489771	59490503	732	0.4604	0.0861	0.362	
59953918	59954097	179	0.8324	0.0782	0.0	
61854067	61857777	3710	0.1852	0.2054	0.576	
65474363	65474542	179	0.9106	0.0	0.0279	
65476088	65476378	290	0.731	0.0103	0.0862	
65515958	65516182	224	0.6429	0.2098	0.0893	
68401310	68401862	552	0.183	0.1993	0.587	
68504523	68504888	365	0.526	0.1699	0.2411	
68513043	68513556	513	0.9571	0.0	0.0	
68800101	68800922	821	0.4994	0.1352	0.2741	
70944408	70944594	186	0.7634	0.0806	0.0108	
71165112	71165609	497	0.7243	0.1207	0.0765	
73126414	73127204	790	0.243	0.4759	0.2139	
73210875	73211392	517	0.0	1.0	0.0	
75558500	75559264	764	0.2605	0.0419	0.6702	
75585270	75586023	753	0.8606	0.0252	0.0359	
79630180	79630791	611	0.5336	0.1309	0.1899	
79672076	79673387	1311	0.2159	0.0336	0.7147	
80583693	80584442	749	0.3885	0.1856	0.3792	
80618076	80619548	1472	0.5476	0.0632	0.3207	
80677171	80677759	588	0.3997	0.0969	0.4592	
86013709	86014126	417	0.247	0.1823	0.5252	
86237061	86238977	1916	0.5183	0.096	0.2651	
88211642	88212759	1117	0.7842	0.0868	0.0385	
88220096	88220827	731	0.684	0.0547	0.1122	
91580825	91581021	196	0.8827	0.0051	0.051	
91886500	91887532	1032	0.3411	0.0988	0.5097	
92417049	92420812	3763	0.1512	0.237	0.5876	
93316501	93317418	917	0.3926	0.2072	0.3391	
95936492	95938039	1547	0.2359	0.1138	0.6141	
96046876	96047028	152	0.9342	0.0	0.0	
96899631	96900465	834	0.3561	0.0624	0.5456	
97487842	97488093	251	0.8008	0.0359	0.0279	
97677245	97677681	436	0.5894	0.0986	0.2087	
98389462	98390152	690	0.4855	0.3406	0.0928	
98522238	98522451	213	0.8873	0.0047	0.0094	
98759955	98760245	290	0.8276	0.0241	0.0034	
99767487	99767932	445	0.4809	0.1865	0.2764	
100520551	100520805	254	0.8583	0.0236	0.0394	
101226780	101226944	164	0.8902	0.0	0.0488	
104837135	104838694	1559	0.7736	0.0481	0.0783	
107575237	107575628	391	0.5908	0.1253	0.1611	
111184032	111185816	1784	0.3879	0.2024	0.3414	
111642293	111643191	898	0.8742	0.0145	0.0312	
111921712	111922181	469	0.6333	0.1812	0.1023	
112333161	112333696	535	0.6299	0.0299	0.2617	
113314744	113315337	593	0.8803	0.0017	0.0185	
113498599	113498834	235	0.8511	0.017	0.0085	
113667885	113668177	292	0.8973	0.0411	0.0	
113777522	113780448	2926	0.1073	0.0017	0.88	
114671465	114671768	303	0.9538	0.0	0.0099	
115195874	115196283	409	0.8778	0.0024	0.0391	
115221997	115225108	3111	0.2048	0.1543	0.6033	
115437607	115439304	1697	0.4001	0.1933	0.3388	
115988309	115990242	1933	0.3973	0.0688	0.4858	
116469014	116469444	430	0.4302	0.0558	0.4907	
116512638	116512812	174	0.8736	0.0172	0.0	
116609247	116609714	467	0.5567	0.0471	0.3019	
117066136	117066275	139	0.8201	0.0	0.0647	
117104334	117104545	211	0.7346	0.019	0.1137	
117386834	117387361	527	0.6509	0.0968	0.1822	
119009833	119010026	193	0.9223	0.0	0.0155	
120154283	120154754	471	0.31	0.0892	0.5478	
120184164	120184355	191	0.7592	0.0681	0.0366	
120625371	120626491	1120	0.2714	0.2313	0.4482	
121056484	121056820	336	0.7262	0.1845	0.0357	
121700223	121700606	383	0.7911	0.0836	0.0078	
128011181	128011340	159	0.805	0.1195	0.0	
129868887	129870266	1379	0.438	0.0616	0.4423	
130679567	130679857	290	0.9345	0.0	0.0414	
130801749	130802000	251	0.8167	0.004	0.0398	
132320368	132320525	157	0.828	0.0	0.0573	
132397334	132397995	661	0.8139	0.0151	0.0303	
