PeakID (cmd=annotatePeaks.pl FWHW_5th_p05FC1_eratoUnique_FWup.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats FWHW_5th_p05FC1_eratoUnique_FWup_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	Herato2001	2075698	2076820	+	0	NA	TTS (ID=evm.model.Herato2001.46-E25;Parent=evm.model.Herato2001.46)	-TTS (ID=evm.model.Herato2001.46-E25;Parent=evm.model.Herato2001.46)	578	ID=evm.model.Herato2001.46-E25;Parent=evm.model.Herato2001.46								
32	Herato1202	7357782	7358067	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.292-E1;Parent=evm.model.Herato1202.292)	-promoter-TSS (ID=evm.model.Herato1202.292-E1;Parent=evm.model.Herato1202.292)	-19	ID=evm.model.Herato1202.292-E1;Parent=evm.model.Herato1202.292								
90	Herato1301	1074580	1074866	+	0	NA	Intergenic	Intergenic	18933	ID=evm.model.Herato1301.33-E1;Parent=evm.model.Herato1301.33								
118	Herato1904	4980729	4981295	+	0	NA	Intergenic	Intergenic	1123	ID=evm.model.Herato1904.170-E10;Parent=evm.model.Herato1904.170								
71	Herato1108	12335799	12336081	+	0	NA	Intergenic	Intergenic	17673	ID=evm.model.Herato1108.519-E1;Parent=evm.model.Herato1108.519								
102	Herato1805	4361285	4361500	+	0	NA	Intergenic	Intergenic	-2514	ID=evm.model.Herato1805.117-E2;Parent=evm.model.Herato1805.117								
18	Herato0701	3160094	3160383	+	0	NA	Intergenic	Intergenic	-11033	ID=evm.model.Herato0701.167-E4;Parent=evm.model.Herato0701.167								
125	Herato1603	3924139	3924450	+	0	NA	Intergenic	Intergenic	-6432	ID=evm.model.Herato1603.133-E1;Parent=evm.model.Herato1603.133								
16	Herato1411	2170982	2171307	+	0	NA	promoter-TSS (ID=evm.model.Herato1411.67-E1;Parent=evm.model.Herato1411.67)	-promoter-TSS (ID=evm.model.Herato1411.67-E1;Parent=evm.model.Herato1411.67)	-930	ID=evm.model.Herato1411.67-E1;Parent=evm.model.Herato1411.67								
44	Herato0901	4011158	4011624	+	0	NA	Intergenic	Intergenic	-55871	ID=evm.model.Herato0901.99-E1;Parent=evm.model.Herato0901.99								
55	Herato1301	18957591	18958009	+	0	NA	Intergenic	Intergenic	-3250	ID=evm.model.Herato1301.653-E2;Parent=evm.model.Herato1301.653								
