start	end	length	IDY	missing1	missing2	
12287213	12287734	521	0.7812	0.0921	0.0537	
132432359	132432797	438	0.8425	0.0091	0.0365	
194306631	194307892	1261	0.4084	0.1031	0.4084	
212054497	212054859	362	0.8702	0.0276	0.0166	
241712264	241713171	907	0.5171	0.1103	0.2878	
261200602	261201249	647	0.7821	0.1005	0.0309	
261210171	261210624	453	0.8146	0.106	0.011	
307871843	307872462	619	0.2892	0.3134	0.3489	
309771978	309772677	699	0.7725	0.0529	0.0515	
321444661	321445605	944	0.8305	0.0275	0.0297	
359012649	359013092	443	0.7652	0.0971	0.0429	
363958028	363959383	1355	0.7993	0.0236	0.0937	
394461617	394462666	1049	0.7807	0.0515	0.0801	
403295924	403296288	364	0.8654	0.022	0.0192	
415975033	415975588	555	0.9009	0.0252	0.0054	
429603659	429604709	1050	0.3019	0.36	0.2933	
438030792	438031732	940	0.3702	0.1734	0.4426	
439938845	439940170	1325	0.4891	0.2445	0.1472	
478316242	478317104	862	0.8329	0.0313	0.0348	
93244786	93245390	604	0.6639	0.1523	0.0795	
