PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_shared_D1up_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D1_p05FC1_shared_D1up_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
559	Hmel218004	453338	454206	+	0	NA	Intergenic	Intergenic	-18201	ID=HMEL006660g1.t1-E1;Parent=HMEL006660g1.t1								
127	Hmel201009	4169064	4169568	+	0	NA	Intergenic	Intergenic	5672	ID=HMEL012457g1.t1-E12;Parent=HMEL012457g1.t1								
32	Hmel206012	1137487	1138100	+	0	NA	Intergenic	Intergenic	1365	ID=HMEL015565g1.t1-E1;Parent=HMEL015565g1.t1								
443	Hmel215006	1278569	1279351	+	0	NA	Intergenic	Intergenic	-35521	ID=HMEL000025-RG-E2;Parent=HMEL000025-RG								
206	Hmel210011	3509163	3509356	+	0	NA	TTS (ID=HMEL030899g1.t1-E3;Parent=HMEL030899g1.t1)	-TTS (ID=HMEL030899g1.t1-E3;Parent=HMEL030899g1.t1)	632	ID=HMEL030899g1.t1-E3;Parent=HMEL030899g1.t1								
118	Hmel208019	676171	676662	+	0	NA	Intergenic	Intergenic	3128	ID=HMEL037922g1.t1-E4;Parent=HMEL037922g1.t1								
71	Hmel207002	6207809	6208585	+	0	NA	Intergenic	Intergenic	54730	ID=HMEL037494g1.t1-E2;Parent=HMEL037494g1.t1								
358	Hmel213007	3059	3396	+	0	NA	NA	NA	NA	NA								
331	Hmel212011	1139885	1140176	+	0	NA	Intergenic	Intergenic	-22875	ID=HMEL031613g1.t1-E1;Parent=HMEL031613g1.t1								
737	Hmel220005	3474508	3475009	+	0	NA	promoter-TSS (ID=HMEL005340g3.t1-E1;Parent=HMEL005340g3.t1)	-promoter-TSS (ID=HMEL005340g3.t1-E1;Parent=HMEL005340g3.t1)	-829	ID=HMEL005340g3.t1-E1;Parent=HMEL005340g3.t1								
560	Hmel218005	191538	191989	+	0	NA	Intergenic	Intergenic	-5302	ID=HMEL014920g1.t1-E1;Parent=HMEL014920g1.t1								
767	Hmel221009	283544	284053	+	0	NA	Intergenic	Intergenic	-7255	ID=HMEL002817g1.t1-E1;Parent=HMEL002817g1.t1								
580	Hmel201002	2344959	2345879	+	0	NA	Intergenic	Intergenic	7847	ID=HMEL014985g1.t1-E1;Parent=HMEL014985g1.t1								
798	Hmel221017	347898	348264	+	0	NA	Intergenic	Intergenic	3031	ID=HMEL012199g1.t1-E1;Parent=HMEL012199g1.t1								
805	Hmel203030	416610	416975	+	0	NA	Intergenic	Intergenic	-4092	ID=HMEL020586g1.t1-E1;Parent=HMEL020586g1.t1								
84	Hmel207008	556375	557023	+	0	NA	promoter-TSS (ID=HMEL010864g1.t1-E5;Parent=HMEL010864g1.t1)	-promoter-TSS (ID=HMEL010864g1.t1-E5;Parent=HMEL010864g1.t1)	-244	ID=HMEL010864g1.t1-E5;Parent=HMEL010864g1.t1								
512	Hmel217004	1118087	1118532	+	0	NA	TTS (ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1)	-TTS (ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1)	1271	ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1								
437	Hmel215006	1012945	1013771	+	0	NA	exon (ID=HMEL000006-RA-E2;Parent=HMEL000006-RA, exon 1 of 1)	-exon (ID=HMEL000006-RA-E2;Parent=HMEL000006-RA, exon 1 of 1)	121	ID=HMEL000006-RA-E2;Parent=HMEL000006-RA								
463	Hmel215047	487844	488921	+	0	NA	Intergenic	Intergenic	29279	ID=HMEL003594g1.t1-E1;Parent=HMEL003594g1.t1								
194	Hmel210011	387502	388647	+	0	NA	Intergenic	Intergenic	-6241	ID=HMEL013326g2.t1-E1;Parent=HMEL013326g2.t1								
517	Hmel217004	1139174	1139538	+	0	NA	Intergenic	Intergenic	-19776	ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1								
458	Hmel215035	39238	40462	+	0	NA	Intergenic	Intergenic	4231	ID=HMEL032807g1.t2-E8;Parent=HMEL032807g1.t2								
451	Hmel215008	134915	135855	+	0	NA	Intergenic	Intergenic	1866	ID=HMEL011564g1.t1-E4;Parent=HMEL011564g1.t1								
220	Hmel210011	4678353	4679311	+	0	NA	Intergenic	Intergenic	-6766	ID=HMEL009058g1.t1-E1;Parent=HMEL009058g1.t1								
454	Hmel215030	15506	17954	+	0	NA	exon (ID=HMEL007010g1.t1-E3;Parent=HMEL007010g1.t1, exon 1 of 1)	-exon (ID=HMEL007010g1.t1-E3;Parent=HMEL007010g1.t1, exon 1 of 1)	2025	ID=HMEL007010g1.t1-E3;Parent=HMEL007010g1.t1								
846	Hmel204013	1246413	1246838	+	0	NA	Intergenic	Intergenic	-3385	ID=HMEL036411g1.t2-E2;Parent=HMEL036411g1.t2								
722	Hmel220005	1754746	1755029	+	0	NA	Intergenic	Intergenic	2025	ID=HMEL035103g1.t1-E2;Parent=HMEL035103g1.t1								
634	Hmel202006	2636434	2637146	+	0	NA	promoter-TSS (ID=HMEL002112g1.t1-E3;Parent=HMEL002112g1.t1)	-promoter-TSS (ID=HMEL002112g1.t1-E3;Parent=HMEL002112g1.t1)	-692	ID=HMEL002112g1.t1-E3;Parent=HMEL002112g1.t1								
31	Hmel206012	1092447	1092784	+	0	NA	Intergenic	Intergenic	-2641	ID=HMEL015565g1.t1-E4;Parent=HMEL015565g1.t1								
578	Hmel218013	31172	32421	+	0	NA	TTS (ID=HMEL034338g1.t1-E5;Parent=HMEL034338g1.t1)	-TTS (ID=HMEL034338g1.t1-E5;Parent=HMEL034338g1.t1)	590	ID=HMEL034338g1.t1-E5;Parent=HMEL034338g1.t1								
695	Hmel202006	5085235	5086499	+	0	NA	Intergenic	Intergenic	-25842	ID=HMEL006133g1.t1-E1;Parent=HMEL006133g1.t1								
728	Hmel220005	2434660	2434836	+	0	NA	Intergenic	Intergenic	4619	ID=HMEL012110g1.t3-E1;Parent=HMEL012110g1.t3								
742	Hmel220005	4818475	4819187	+	0	NA	Intergenic	Intergenic	8081	ID=HMEL035219g1.t1-E8;Parent=HMEL035219g1.t1								
378	Hmel213049	488724	489859	+	0	NA	Intergenic	Intergenic	44468	ID=HMEL032071g1.t1-E2;Parent=HMEL032071g1.t1								
325	Hmel212009	889922	890392	+	0	NA	Intergenic	Intergenic	9296	ID=HMEL011918g1.t1-E5;Parent=HMEL011918g1.t1								
29	Hmel201009	1099239	1099809	+	0	NA	Intergenic	Intergenic	3225	ID=HMEL003506g1.t1-E2;Parent=HMEL003506g1.t1								
572	Hmel218007	1375674	1376356	+	0	NA	Intergenic	Intergenic	-5634	ID=HMEL034316g1.t1-E1;Parent=HMEL034316g1.t1								
350	Hmel213004	347882	348467	+	0	NA	Intergenic	Intergenic	-5583	ID=HMEL031769g1.t1-E1;Parent=HMEL031769g1.t1								
675	Hmel219005	239638	239907	+	0	NA	Intergenic	Intergenic	-2103	ID=HMEL009286g1.t1-E1;Parent=HMEL009286g1.t1								
540	Hmel217014	293323	294333	+	0	NA	promoter-TSS (ID=HMEL009876-RA-E6;Parent=HMEL009876-RA)	-promoter-TSS (ID=HMEL009876-RA-E6;Parent=HMEL009876-RA)	90	ID=HMEL009876-RA-E6;Parent=HMEL009876-RA								
226	Hmel211004	65452	65583	+	0	NA	Intergenic	Intergenic	-6011	ID=HMEL015210g1.t1-E1;Parent=HMEL015210g1.t1								
58	Hmel207002	3312693	3312882	+	0	NA	Intergenic	Intergenic	-6431	ID=HMEL009345g1.t1-E1;Parent=HMEL009345g1.t1								
684	Hmel219012	326247	326683	+	0	NA	Intergenic	Intergenic	-32569	ID=HMEL034766g1.t1-E1;Parent=HMEL034766g1.t1								
211	Hmel210011	3953249	3953501	+	0	NA	Intergenic	Intergenic	15785	ID=HMEL030906g1.t1-E2;Parent=HMEL030906g1.t1								
153	Hmel210004	302180	303190	+	0	NA	Intergenic	Intergenic	1649	ID=HMEL022606-RA-E3;Parent=HMEL022606-RA								
15	Hmel206009	1812608	1813189	+	0	NA	Intergenic	Intergenic	-10336	ID=HMEL016766g2.t1-E2;Parent=HMEL016766g2.t1								
527	Hmel217004	2183875	2184599	+	0	NA	Intergenic	Intergenic	-7159	ID=HMEL016679g1.t1-E1;Parent=HMEL016679g1.t1								
431	Hmel214024	294505	295259	+	0	NA	TTS (ID=HMEL032509g1.t1-E7;Parent=HMEL032509g1.t1)	-TTS (ID=HMEL032509g1.t1-E7;Parent=HMEL032509g1.t1)	152	ID=HMEL032509g1.t1-E8;Parent=HMEL032509g1.t1								
861	Hmel205012	57427	58033	+	0	NA	Intergenic	Intergenic	-10245	ID=HMEL036657g1.t1-E2;Parent=HMEL036657g1.t1								
382	Hmel213049	669734	670212	+	0	NA	Intergenic	Intergenic	12576	ID=HMEL011784g1.t1-E1;Parent=HMEL011784g1.t1								
337	Hmel212013	957995	961969	+	0	NA	promoter-TSS (ID=HMEL011981g1.t1-E1;Parent=HMEL011981g1.t1)	-promoter-TSS (ID=HMEL011981g1.t1-E1;Parent=HMEL011981g1.t1)	-587	ID=HMEL011981g2.t1-E3;Parent=HMEL011981g2.t1								
101	Hmel207021	2007129	2008180	+	0	NA	Intergenic	Intergenic	6031	ID=HMEL037713g1.t1-E1;Parent=HMEL037713g1.t1								
340	Hmel212013	981831	983159	+	0	NA	TTS (ID=HMEL007391g1.t1-E1;Parent=HMEL007391g1.t1)	-TTS (ID=HMEL007391g1.t1-E1;Parent=HMEL007391g1.t1)	616	ID=HMEL007391g1.t1-E1;Parent=HMEL007391g1.t1								
76	Hmel207002	6472034	6472841	+	0	NA	Intergenic	Intergenic	-17661	ID=HMEL037499g1.t1-E1;Parent=HMEL037499g1.t1								
311	Hmel212004	609602	610056	+	0	NA	Intergenic	Intergenic	22898	ID=HMEL031511g1.t1-E3;Parent=HMEL031511g1.t1								
62	Hmel207002	5495770	5496266	+	0	NA	Intergenic	Intergenic	-2705	ID=HMEL005504g1.t1-E3;Parent=HMEL005504g1.t1								
833	Hmel204001	1203493	1204448	+	0	NA	Intergenic	Intergenic	5614	ID=HMEL009716g1.t1-E7;Parent=HMEL009716g1.t1								
571	Hmel218007	1358670	1359014	+	0	NA	Intergenic	Intergenic	-22807	ID=HMEL034316g1.t1-E1;Parent=HMEL034316g1.t1								
139	Hmel209001	1528452	1528707	+	0	NA	Intergenic	Intergenic	37419	ID=HMEL004103g1.t1-E1;Parent=HMEL004103g1.t1								
