start	end	length	IDY	missing1	missing2	
1133644	1134092	448	0.8393	0.0179	0.0223	
1134661	1136784	2123	0.4503	0.1083	0.3726	
1170475	1171809	1334	0.3103	0.1049	0.5615	
1350242	1351173	931	0.3276	0.015	0.6122	
1725594	1725753	159	0.0943	0.8805	0.0	
1783126	1783874	748	0.2821	0.1404	0.5388	
1884044	1884307	263	0.4183	0.4601	0.038	
1993635	1994009	374	0.5428	0.0267	0.3235	
2029183	2030515	1332	0.4474	0.229	0.2508	
2040086	2041292	1206	0.7919	0.0904	0.0547	
2202133	2204978	2845	0.3012	0.265	0.3821	
2273813	2273963	150	0.9267	0.0133	0.0	
2277578	2279868	2290	0.455	0.145	0.3301	
2325410	2326350	940	0.6245	0.2277	0.0745	
2460684	2461605	921	0.3583	0.0793	0.4832	
2579155	2579999	844	0.6754	0.0379	0.1848	
2608000	2608211	211	0.9289	0.0	0.0237	
2626958	2628275	1317	0.6834	0.0964	0.1139	
2706764	2707176	412	0.4199	0.3252	0.1869	
2709834	2710194	360	0.8611	0.0389	0.0222	
2782226	2782385	159	0.9308	0.0	0.0	
2782605	2783406	801	0.015	0.3408	0.6292	
2994870	2995242	372	0.7957	0.0457	0.0215	
3326277	3326442	165	0.903	0.0	0.0242	
3335634	3336936	1302	0.3233	0.0584	0.5668	
3696941	3697214	273	0.9304	0.0	0.033	
3711148	3711410	262	0.9198	0.0229	0.0	
3726758	3727084	326	0.8006	0.0644	0.0429	
3751463	3752368	905	0.6232	0.1978	0.0873	
3756973	3757532	559	0.2379	0.1735	0.5599	
3765036	3765959	923	0.351	0.0845	0.533	
3893983	3894219	236	0.8814	0.0508	0.0	
3895425	3895831	406	0.7069	0.0591	0.1084	
3906119	3906491	372	0.8952	0.0188	0.0108	
4272478	4273167	689	0.0	1.0	0.0	
4448556	4448718	162	0.0	1.0	0.0	
4515131	4515835	704	0.706	0.2159	0.0	
4651765	4652162	397	0.5164	0.0882	0.335	
5048272	5049970	1698	0.639	0.1101	0.159	
5136362	5137497	1135	0.4564	0.1612	0.3145	
5208282	5209224	942	0.4374	0.1518	0.3662	
5211529	5212696	1167	0.3145	0.6487	0.0026	
5233238	5233697	459	0.7451	0.0654	0.0501	
5237644	5237827	183	0.8197	0.1366	0.0	
5287528	5287894	366	0.7623	0.0874	0.041	
5307729	5308089	360	0.5417	0.05	0.3444	
5645806	5647312	1506	0.1102	0.1268	0.755	
5985306	5985670	364	0.5687	0.3626	0.0	
7023785	7023930	145	0.8897	0.0069	0.0	
7040026	7040684	658	0.3997	0.1489	0.3647	
7247981	7248210	229	0.9782	0.0	0.0	
7502621	7503661	1040	0.3702	0.3144	0.2327	
7531263	7532667	1404	0.1553	0.1403	0.688	
7538022	7539235	1213	0.6735	0.0651	0.1797	
7700222	7701668	1446	0.4834	0.139	0.2676	
7702184	7702721	537	0.6089	0.1527	0.121	
7729710	7732171	2461	0.4665	0.2341	0.2373	
7813826	7814099	273	0.7912	0.0366	0.0037	
7814941	7817249	2308	0.2413	0.0771	0.6373	
7821851	7822053	202	0.7426	0.0446	0.1386	
7941820	7941986	166	0.8072	0.0181	0.0482	
8060644	8060864	220	0.9273	0.0	0.0	
8111884	8112088	204	0.3725	0.5147	0.0294	
8240873	8241968	1095	0.3936	0.0758	0.4703	
8259049	8261013	1964	0.2357	0.1945	0.5341	
8310187	8311706	1519	0.5444	0.1126	0.2607	
8557642	8557863	221	0.8281	0.0407	0.0181	
8559234	8560382	1148	0.2456	0.25	0.4861	
8782800	8783768	968	0.3636	0.1498	0.4163	
9022721	9023386	665	0.2902	0.3098	0.3549	
9041463	9042108	645	0.7008	0.0868	0.1209	
9147177	9147640	463	0.6609	0.0302	0.216	
9177488	9177640	152	0.8816	0.0395	0.0066	
9181812	9182713	901	0.6804	0.0577	0.1465	
9289215	9289407	192	0.9063	0.0156	0.0	
9326686	9328038	1352	0.6036	0.0754	0.2411	
9448840	9448996	156	0.9231	0.0	0.0064	
9455980	9456405	425	0.5247	0.1859	0.2	
9517730	9517967	237	0.4473	0.5359	0.0127	
9518344	9518873	529	0.707	0.0491	0.0605	
9540028	9541072	1044	0.7193	0.0153	0.1782	
9541186	9543674	2488	0.24	0.0896	0.6391	
9595664	9595973	309	0.8997	0.0097	0.0194	
9599615	9599926	311	0.9196	0.0161	0.0	
9884888	9885157	269	0.0	1.0	0.0	
9968559	9968898	339	0.9263	0.0147	0.0147	
9982597	9983018	421	0.9596	0.0	0.0	
9987247	9987587	340	0.7765	0.0882	0.0265	
10021093	10022084	991	0.5035	0.2008	0.1958	
10047126	10047377	251	0.9283	0.004	0.0159	
10058185	10059281	1096	0.8996	0.0027	0.0265	
10071853	10072191	338	0.8195	0.0296	0.0769	
10073712	10073930	218	0.9174	0.0229	0.0	
10077009	10077753	744	0.9059	0.0134	0.0188	
