start	end	length	IDY	missing1	missing2	
184717795	184718248	453	0.3046	0.0839	0.5541	
104977882	104978923	1041	0.3987	0.3372	0.2181	
105129962	105131297	1335	0.4127	0.3326	0.1873	
187860091	187860572	481	0.896	0.027	0.0062	
109708890	109709061	171	0.7661	0.0058	0.1754	
11115859	11116412	553	0.3436	0.0253	0.6004	
112115021	112115202	181	0.895	0.011	0.0276	
113615994	113616387	393	0.883	0.0	0.056	
196047426	196047636	210	0.6238	0.0095	0.2476	
118906648	118908371	1723	0.1178	0.621	0.2449	
206145883	206146173	290	0.9414	0.0034	0.0	
124847637	124847911	274	0.8504	0.0292	0.0219	
125440455	125440927	472	0.4725	0.2309	0.2013	
125580109	125581125	1016	0.3494	0.3051	0.2795	
126545720	126546238	518	0.7104	0.0347	0.1255	
207803714	207804152	438	0.5479	0.121	0.2694	
12877628	12877803	175	0.9314	0.0114	0.0171	
290618821	290619035	214	0.8785	0.0	0.0701	
130792572	130793261	689	0.5138	0.0769	0.3033	
211631416	211631805	389	0.6504	0.0617	0.1697	
132420791	132421090	299	0.8194	0.0301	0.0268	
132460115	132460294	179	0.8603	0.0223	0.0223	
212774387	212775130	743	0.3849	0.3338	0.2194	
13266850	13267252	402	0.7114	0.1269	0.0746	
132714442	132714651	209	0.8852	0.0096	0.0335	
385793066	385793653	587	0.0	0.0	1.0	
216860579	216860980	401	0.611	0.0	0.3067	
138187607	138187909	302	0.8245	0.0166	0.0265	
139270829	139271078	249	0.8032	0.0442	0.0723	
139579080	139579355	275	0.5273	0.0727	0.28	
140354778	140355293	515	0.5417	0.2621	0.1417	
141091411	141091812	401	0.3716	0.0324	0.5736	
141105782	141106363	581	0.327	0.4337	0.2203	
142397525	142398351	826	0.7179	0.1344	0.0472	
303515556	303515785	229	0.6419	0.0087	0.2664	
143663542	143663979	437	0.9222	0.0	0.0046	
144879132	144879530	398	0.0	0.0	1.0	
305991848	305994434	2586	0.2022	0.5201	0.2541	
145908527	145909024	497	0.6579	0.0121	0.2636	
149363039	149364290	1251	0.5412	0.1487	0.2406	
150329470	150329766	296	0.875	0.0	0.0338	
233873993	233874328	335	0.7552	0.0328	0.1104	
15366326	15367223	897	0.2297	0.0914	0.6455	
15367805	15368078	273	0.5458	0.0696	0.326	
404496158	404497347	1189	0.5265	0.0892	0.2851	
157260292	157260708	416	0.6322	0.1875	0.0264	
158008307	158010033	1726	0.2161	0.5562	0.1842	
160881212	160882535	1323	0.0491	0.2842	0.6614	
64949091	64949391	300	0.8333	0.0067	0.03	
2462568	2463762	1194	0.366	0.2152	0.3375	
247347628	247347995	367	0.0	0.0	1.0	
166800208	166800478	270	0.0	0.0	1.0	
24867864	24868178	314	0.7134	0.0	0.2038	
33945163	33945373	210	0.7429	0.0857	0.0476	
172690496	172690810	314	0.8121	0.0382	0.0318	
175245738	175246877	1139	0.3248	0.3354	0.2801	
257047953	257048538	585	0.4872	0.0821	0.3949	
257456974	257457348	374	0.885	0.0294	0.0134	
260359617	260359782	165	0.8667	0.0	0.0121	
261205049	261205845	796	0.4636	0.4397	0.0364	
181582095	181582395	300	0.89	0.0033	0.0333	
348784606	348784833	227	0.8899	0.0132	0.0264	
348785736	348786013	277	0.8953	0.0217	0.0036	
182525804	182526942	1138	0.1318	0.4938	0.2882	
183102370	183103255	885	0.6192	0.1209	0.0802	
269211717	269211906	189	0.0	0.0	1.0	
192351732	192352041	309	0.8511	0.0421	0.0	
273366779	273367011	232	0.0	0.0	1.0	
193966887	193967147	260	0.8308	0.0192	0.0154	
303765844	303766426	582	0.433	0.134	0.3608	
283461589	283461838	249	0.8996	0.008	0.0201	
204651907	204652113	206	0.9515	0.0	0.0097	
205039988	205040409	421	0.2945	0.2067	0.4584	
373886244	373886586	342	0.0	0.0	1.0	
375410879	375411967	1088	0.0993	0.602	0.273	
207634120	207634785	665	0.5579	0.2827	0.0286	
