chromosome	start	end	start_pan	end_pan
chr1	0	22325789	1	27950233
chr2	22325790	35962419	27950234	45654328
chr3	35962420	52604447	45654329	66339603
chr4	52604448	68325569	66339604	85909276
chr5	68325570	82315496	85909277	103548877
chr6	82315497	101744863	103548878	128361364
chr7	101744864	120841902	128361365	152543767
chr8	120841903	134865312	152543768	170111034
chr9	134865313	148029228	170111035	186737175
chr10	148029229	171993605	186737176	216766602
chr11	171993606	189151028	216766603	238195045
chr12	189151029	210510747	238195046	265363652
chr13	210510748	234365158	265363653	295724241
chr14	234365159	248394820	295724242	313328518
chr15	248394821	265540703	313328519	334619183
chr16	265540704	280803203	334619184	353718404
chr17	280803204	301236291	353718405	379520834
chr18	301236292	323073086	379520835	407068658
chr19	323073087	345900597	407068659	435800553
chr20	345900598	365350073	435800554	460176598
chr21	365350074	382829003	460176599	483353880
