start	end	length	IDY	missing1	missing2	
264307131	264307359	228	0.0	0.0	1.0	
177336309	177336886	577	0.0	0.0	1.0	
119928807	119929439	632	0.2801	0.3275	0.3481	
206771153	206771358	205	0.8488	0.0537	0.0098	
264790057	264790359	302	0.5397	0.0894	0.2086	
264799249	264799463	214	0.771	0.0981	0.0093	
92147899	92148147	248	0.8347	0.0282	0.0645	
149139762	149140111	349	0.7077	0.1003	0.043	
178105473	178105957	484	0.3492	0.2789	0.2996	
178221784	178222004	220	0.5818	0.0182	0.3091	
292054925	292055299	374	0.7005	0.2005	0.0294	
92528404	92528663	259	0.0	0.0	1.0	
92695298	92695607	309	0.5955	0.0	0.2848	
471281872	471282104	232	0.4181	0.0388	0.5172	
92816956	92817629	673	0.6003	0.2155	0.0743	
1206257	1206426	169	0.8935	0.0	0.0	
179341582	179341760	178	0.736	0.0337	0.0	
1506281	1507603	1322	0.3101	0.1513	0.4667	
93376557	93376877	320	0.7406	0.0375	0.05	
180147574	180147795	221	0.8326	0.0543	0.0045	
1730493	1730859	366	0.0	0.0	1.0	
1734281	1734808	527	0.0	0.0	1.0	
293060088	293061442	1354	0.0	0.0	1.0	
1873742	1874694	952	0.2374	0.4643	0.2742	
93553327	93553630	303	0.8185	0.0132	0.0462	
1936974	1937347	373	0.5201	0.3244	0.0724	
93814118	93814530	412	0.3422	0.4199	0.1772	
2141652	2142137	485	0.1773	0.0309	0.7423	
122472223	122472461	238	0.8277	0.0126	0.084	
94271336	94271788	452	0.5531	0.0531	0.2788	
2445208	2445454	246	0.7724	0.0244	0.1057	
94585119	94585350	231	0.5887	0.1082	0.2468	
94654085	94654446	361	0.0	0.0	1.0	
94724922	94725635	713	0.3464	0.5568	0.0729	
294353577	294354741	1164	0.4837	0.2285	0.1976	
2914154	2914360	206	0.8107	0.0194	0.034	
3403291	3403509	218	0.7339	0.0321	0.1009	
182542268	182542617	349	0.1862	0.0	0.7593	
294825195	294825766	571	0.2767	0.2504	0.4361	
152287414	152287563	149	0.0	0.0	1.0	
267886922	267887466	544	0.0	0.0	1.0	
