PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thdown_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_shared_5thdown_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	Herato0606	9497547	9497951	+	0	NA	Intergenic	Intergenic	86793	ID=evm.model.Herato0606.305-E5;Parent=evm.model.Herato0606.305								
1801	Herato1805	1943952	1944513	+	0	NA	Intergenic	Intergenic	41659	ID=evm.model.Herato1805.80-E10;Parent=evm.model.Herato1805.80								
71	Herato0606	3815252	3815867	+	0	NA	Intergenic	Intergenic	-9779	ID=evm.model.Herato0606.116.1-E2;Parent=evm.model.Herato0606.116.1								
1648	Herato1701	8181548	8182615	+	0	NA	Intergenic	Intergenic	-7727	ID=evm.model.Herato1701.249-E1;Parent=evm.model.Herato1701.249								
1481	Herato1507	9620255	9621008	+	0	NA	promoter-TSS (ID=evm.model.Herato1507.323-E3;Parent=evm.model.Herato1507.323)	-promoter-TSS (ID=evm.model.Herato1507.323-E3;Parent=evm.model.Herato1507.323)	-348	ID=evm.model.Herato1507.323-E3;Parent=evm.model.Herato1507.323								
2266	Herato2001	6562227	6562448	+	0	NA	TTS (ID=evm.model.Herato2001.239-E1;Parent=evm.model.Herato2001.239)	-TTS (ID=evm.model.Herato2001.239-E1;Parent=evm.model.Herato2001.239)	1039	ID=evm.model.Herato2001.239-E1;Parent=evm.model.Herato2001.239								
1178	Herato1301	6497134	6497718	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.234-E6;Parent=evm.model.Herato1301.234)	-promoter-TSS (ID=evm.model.Herato1301.234-E6;Parent=evm.model.Herato1301.234)	-121	ID=evm.model.Herato1301.234-E6;Parent=evm.model.Herato1301.234								
1387	Herato1411	1695551	1696146	+	0	NA	promoter-TSS (ID=evm.model.Herato1411.46-E5;Parent=evm.model.Herato1411.46)	-promoter-TSS (ID=evm.model.Herato1411.46-E5;Parent=evm.model.Herato1411.46)	-688	ID=evm.model.Herato1411.46-E5;Parent=evm.model.Herato1411.46								
512	Herato0901	7982792	7984092	+	0	NA	Intergenic	Intergenic	-9745	ID=evm.model.Herato0901.260-E1;Parent=evm.model.Herato0901.260								
1932	Herato1807	2190755	2191306	+	0	NA	Intergenic	Intergenic	-21858	ID=evm.model.Herato1807.41.4-E1;Parent=evm.model.Herato1807.41.4								
463	Herato0901	1771110	1771560	+	0	NA	Intergenic	Intergenic	-16160	ID=evm.model.Herato0901.62-E1;Parent=evm.model.Herato0901.62								
517	Herato0101	14436478	14436788	+	0	NA	Intergenic	Intergenic	-51737	ID=evm.model.Herato0101.514-E1;Parent=evm.model.Herato0101.514								
458	Herato0901	953439	954240	+	0	NA	Intergenic	Intergenic	13282	ID=evm.model.Herato0901.36-E1;Parent=evm.model.Herato0901.36								
2634	Herato0503	4178533	4179249	+	0	NA	Intergenic	Intergenic	15545	ID=evm.model.Herato0503.130-E1;Parent=evm.model.Herato0503.130								
1785	Herato1805	937791	938112	+	0	NA	Intergenic	Intergenic	39360	ID=evm.model.Herato1805.55-E5;Parent=evm.model.Herato1805.55								
1250	Herato1301	16139743	16139912	+	0	NA	Intergenic	Intergenic	6143	ID=evm.model.Herato1301.584-E1;Parent=evm.model.Herato1301.584								
1363	Herato1408	4404695	4405272	+	0	NA	Intergenic	Intergenic	-3363	ID=evm.model.Herato1408.159.1-E1;Parent=evm.model.Herato1408.159.1								
722	Herato1007	1516387	1517087	+	0	NA	Intergenic	Intergenic	1450	ID=evm.model.Herato1007.63-E4;Parent=evm.model.Herato1007.63								
2507	Herato0310	5364180	5364498	+	0	NA	Intergenic	Intergenic	-79573	ID=evm.model.Herato0310.128-E1;Parent=evm.model.Herato0310.128								
1109	Herato1202	19152354	19152945	+	0	NA	Intergenic	Intergenic	7806	ID=evm.model.Herato1202.776-E1;Parent=evm.model.Herato1202.776								
2067	Herato1904	4824123	4824852	+	0	NA	Intergenic	Intergenic	13466	ID=evm.model.Herato1904.167-E5;Parent=evm.model.Herato1904.167								
1630	Herato1701	7399044	7399326	+	0	NA	Intergenic	Intergenic	2416	ID=evm.model.Herato1701.219-E2;Parent=evm.model.Herato1701.219								
1597	Herato1701	5470029	5470509	+	0	NA	TTS (ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147)	-TTS (ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147)	1298	ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147								
